"a","b","c","b2","a1","b1","c1","a0","b0","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD","equation"
9.599908709032,2.35496141518,-0.89912555409,NA,NA,NA,NA,NA,NA,"19 M330",NA,NA,1
NA,NA,-0.325050455055,NA,NA,1.249237428914,NA,0.477184595914,2.592670351881,"202 240",NA,NA,2
NA,NA,-0.132262670294,NA,NA,1.549486061144,NA,0.976718930862,1.888740043925,"202 M210",NA,NA,2
NA,NA,-1.341525208266,NA,NA,2.296286409523,NA,19.494956525468,2.719154988425,"202 M240",NA,NA,2
NA,NA,-0.622599504709,NA,NA,2.510805499206,NA,1.263596954534,2.405107268532,"202 M260",NA,NA,2
NA,NA,-0.625377411844,NA,NA,2.066284358809,NA,4.885819494226,2.045280169322,"202 M330",NA,NA,2
1.191820107431,1.232984483949,0.149164980509,NA,NA,NA,NA,NA,NA,"211 260",NA,NA,1
0.413877859177,2.255042125168,-0.294566570961,NA,NA,NA,NA,NA,NA,"241 210",NA,NA,1
0.447507796809,2.00987665729,-0.163759423904,NA,NA,NA,NA,NA,NA,"261 210",NA,NA,1
0.105067949517,1.01733757354,0.822402649359,NA,NA,NA,NA,NA,NA,"261 M220",NA,NA,1
86.639008448887,3.729452689127,-2.395382766815,NA,NA,NA,NA,NA,NA,"313 230",NA,NA,1
5.202047909856,2.114300246481,-0.975485822654,NA,NA,NA,NA,NA,NA,"316 210",NA,NA,1
0.133774283462,1.945302525561,0.09800163185,NA,NA,NA,NA,NA,NA,"316 230",NA,NA,1
4.505398952978,2.14216740368,-0.83965506717,NA,NA,NA,NA,NA,NA,"316 M220",NA,NA,1
0.392154397043,1.749876619316,-0.11978145606,NA,NA,NA,NA,NA,NA,"318 210",NA,NA,1
11.652373169069,2.791100545348,-1.520751946471,NA,NA,NA,NA,NA,NA,"351 240",NA,NA,1
7.592341638798,1.529823396175,-0.790470945421,NA,NA,NA,NA,NA,NA,"371 210",NA,NA,1
68.158765671863,3.172276410541,-2.118709411404,NA,NA,NA,NA,NA,NA,"375 210",NA,NA,1
2.879275885414,2.766984910086,-0.999972535727,NA,NA,NA,NA,NA,NA,"375 M210",NA,NA,1
0.098851773999,2.340936762892,-0.064264694586,NA,NA,NA,NA,NA,NA,"400 210",NA,NA,1
0.001610249662,1.781365466824,1.308047667966,NA,NA,NA,NA,NA,NA,"400 230",NA,NA,1
0.003623694825,1.57694450612,1.109521989583,NA,NA,NA,NA,NA,NA,"461 230",NA,NA,1
0.713461736101,2.263126763835,-0.434861857761,NA,NA,NA,NA,NA,NA,"491 230",NA,NA,1
0.324920714585,1.609509076065,-0.150995117932,NA,NA,NA,NA,NA,NA,"531 210",NA,NA,1
0.857704027144,2.409028649925,-0.713260835304,NA,NA,NA,NA,NA,NA,"540 230",NA,NA,1
0.118000151775,1.328628443014,0.351061805712,NA,NA,NA,NA,NA,NA,"541 210",NA,NA,1
0.041451851049,1.270652587738,0.669962614594,NA,NA,NA,NA,NA,NA,"544 230",NA,NA,1
1.126667596249,2.296820298918,-0.706002084985,NA,NA,NA,NA,NA,NA,"611 230",NA,NA,1
6.840226755732,2.56528584501,-1.285330794947,NA,NA,NA,NA,NA,NA,"621 230",NA,NA,1
16.478119020567,2.63421704133,-1.457944182499,NA,NA,NA,NA,NA,NA,"621 M220",NA,NA,1
11.354024232125,2.445719489878,-1.479591494678,NA,NA,NA,NA,NA,NA,"691 230",NA,NA,1
15.145084825995,3.154480317282,-1.852174058905,NA,NA,NA,NA,NA,NA,"694 230",NA,NA,1
1.867233716729,2.181310435128,-0.715231695716,NA,NA,NA,NA,NA,NA,"71 210",NA,NA,1
2.332767688452,2.192831044072,-0.845807879337,NA,NA,NA,NA,NA,NA,"73 M330",NA,NA,1
6.058287747638,2.77055384274,-1.515738803968,NA,NA,NA,NA,NA,NA,"740 230",NA,NA,1
0.339557969757,1.61290222975,-0.118743697941,NA,NA,NA,NA,NA,NA,"741 210",NA,NA,1
21.738935960807,2.471001179146,-1.345104883,NA,NA,NA,NA,NA,NA,"742 230",NA,NA,1
8.968358501893,2.366034779507,-1.3219555427,NA,NA,NA,NA,NA,NA,"743 210",NA,NA,1
2.813617869467,2.578245150077,-1.092783190046,NA,NA,NA,NA,NA,NA,"746 130",NA,NA,1
2.720163593645,2.543098464583,-1.098977777865,NA,NA,NA,NA,NA,NA,"746 210",NA,NA,1
0.881281432101,1.722206011569,-0.526259153401,NA,NA,NA,NA,NA,NA,"746 M330",NA,NA,1
1.61568822268,1.534361966125,-0.507104558952,NA,NA,NA,NA,NA,NA,"762 210",NA,NA,1
0.003211888508,1.242312652242,1.340444127166,NA,NA,NA,NA,NA,NA,"802 210",NA,NA,1
2.744926621884,2.142558783502,-0.71658058793,NA,NA,NA,NA,NA,NA,"802 220",NA,NA,1
0.241927499698,2.43074136534,-0.194894241093,NA,NA,NA,NA,NA,NA,"802 230",NA,NA,1
0.03832401169,1.740655717258,0.500290321354,NA,NA,NA,NA,NA,NA,"802 M220",NA,NA,1
0.465148293317,1.970075532575,-0.249313450173,NA,NA,NA,NA,NA,NA,"822 230",NA,NA,1
9.412284538358,2.338414867873,-1.011294080903,NA,NA,NA,NA,NA,NA,"827 230",NA,NA,1
7.249260296234,1.858688751424,-0.75625809564,NA,NA,NA,NA,NA,NA,"828 230",NA,NA,1
0.121217896613,1.645923709266,0.244195488692,NA,NA,NA,NA,NA,NA,"831 230",NA,NA,1
0.420062157564,2.11695175154,-0.26276432368,NA,NA,NA,NA,NA,NA,"832 M220",NA,NA,1
0.044051316102,1.891799289661,0.326716180826,NA,NA,NA,NA,NA,NA,"833 210",NA,NA,1
3.859977303158,2.263740717787,-0.5922118042,NA,NA,NA,NA,NA,NA,"93 M330",NA,NA,1
20.730559777339,2.733935183586,-1.386865266707,NA,NA,NA,NA,NA,NA,"94 210",NA,NA,1
69.834428469656,2.928142967451,-1.788182000874,NA,NA,NA,NA,NA,NA,"95 130",NA,NA,1
