"a","b","c","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD","equation"
0.003504073654,1.821357964958,1.031766698583,"802 M220",NA,NA,1
0.005016765043,1.98274442447,0.852148285053,"802 M230",NA,NA,1
0.004616611561,1.891378906053,0.9387552224,"806 220",NA,NA,1
0.003111965883,1.824529901419,1.059305975927,"806 230",NA,NA,1
0.004333975508,1.895194674408,0.940149521895,"806 M220",NA,NA,1
0.007521394746,1.664277545923,0.948263334953,"81 M260",NA,NA,1
0.003074328479,1.831376443478,1.048346276926,"812 230",NA,NA,1
0.00424412786,1.895337492719,0.935289456007,"813 230",NA,NA,1
0.005793890753,1.814586857095,0.911356863284,"820 230",NA,NA,1
0.002711330535,1.848969698878,1.055694472622,"822 230",NA,NA,1
0.00206350363,1.706281426358,1.220242544331,"825 230",NA,NA,1
0.003477237996,1.814628386471,1.029246187527,"827 230",NA,NA,1
0.003306759505,1.85728724088,1.011548217912,"828 230",NA,NA,1
0.003969364137,1.795319209252,1.005591998674,"831 230",NA,NA,1
0.004505777793,1.836408383752,0.970938774219,"832 220",NA,NA,1
0.003303257423,1.823444356686,1.045540016669,"832 230",NA,NA,1
0.004006892795,1.884809708491,0.961738195734,"832 M220",NA,NA,1
0.004403950551,1.786709873922,1.010940854801,"833 210",NA,NA,1
0.002576199618,1.844380217955,1.091406270968,"833 220",NA,NA,1
0.003469999666,1.855667823428,1.009757403247,"833 230",NA,NA,1
0.003877006853,1.841559836124,0.991762603571,"833 M220",NA,NA,1
0.003396548699,1.892529494783,1.001418370157,"835 220",NA,NA,1
0.004302056578,1.872930558484,0.95110303306,"835 230",NA,NA,1
0.003464782328,1.872027401318,1.014429042267,"837 220",NA,NA,1
0.002738276213,1.94351838266,1.01325631568,"837 230",NA,NA,1
0.004565145522,1.945777050891,0.905805295864,"837 M210",NA,NA,1
0.003824180784,1.881295873331,0.971967764505,"837 M220",NA,NA,1
0.004272530915,1.660100185922,1.084581010424,"838 230",NA,NA,1
0.002254780221,1.769392781723,1.152197049464,"901 M220",NA,NA,1
0.003244165879,1.801853959979,1.086416698351,"91 210",NA,NA,1
0.00225439811,1.696208294987,1.20741147213,"93 M330",NA,NA,1
0.004679847133,1.740526319228,1.030334165909,"93 M340",NA,NA,1
0.004486716072,1.846489980557,0.954718923241,"94 130",NA,NA,1
0.002403672154,1.792937749313,1.143134368699,"94 210",NA,NA,1
0.003915830036,1.856687115876,0.974442052028,"94 M130",NA,NA,1
0.004382038866,1.894219134261,0.937770425949,"95 130",NA,NA,1
0.002858997289,1.83563779766,1.07782279943,"95 210",NA,NA,1
0.004318018335,1.811497885561,0.980217346422,"95 M130",NA,NA,1
0.005257834357,1.869443540992,0.939532291505,"950 210",NA,NA,1
0.003427676065,1.89675511635,0.993904802033,"950 M220",NA,NA,1
0.003774407585,1.961773442413,0.943093889656,"951 210",NA,NA,1
0.004689746803,1.96565659438,0.881687850472,"951 220",NA,NA,1
