"SPCD","DIVISION","STDORGCD","equation","alpha","beta"
113,,,6,2.277333794522,0.903512603508
115,"230",,6,2.213738290753,0.953380674624
115,,,6,2.213952901306,0.953133232797
116,,,6,2.215875645493,0.903512603508
117,"M260",,6,2.338885674283,0.912274910574
117,,,6,2.34255722257,0.913010954048
119,,,6,2.252383496413,0.903512603508
121,"230",,6,2.117686248461,0.907598818612
121,,,6,2.117680702834,0.907590354365
122,"310",,6,2.295808563259,0.957389664178
122,"330",,6,2.191231136088,0.938322327117
122,"340",,6,2.214213634041,0.920768443325
122,"M240",,6,2.218203838569,0.886290842724
122,"M260",,6,2.253795549126,0.90625503545
122,"M310",,6,2.259121711874,0.959872267444
122,"M330",,6,2.212922806239,0.938568732849
122,"M340",,6,2.314560911648,1.026064936147
122,,,6,2.225646063067,0.933592758312
123,"M220",,6,2.007590011021,0.907416892224
123,,,6,1.966083128976,0.901106430655
125,"130",,6,2.06917700336,0.916687773733
125,"210",,6,2.077114007109,0.932287210448
125,"220",,6,2.097208194965,0.923821225248
125,"M210",,6,2.210695303425,0.914712358146
125,,,6,2.078680997376,0.924148129724
126,"M220",,6,2.11653398942,0.924391197153
126,,,6,2.12488111252,0.921727135205
128,"230",,6,2.053605674203,0.882312922855
128,,,6,2.053605674203,0.882312922855
129,"130",,6,2.110134399318,0.899611189358
129,"210",,6,2.14382457528,0.926956801598
129,"220",,6,2.16824144336,0.92893727093
129,"230",,6,2.263702307496,0.873853394327
129,"M210",,6,2.325833967092,0.938352813319
129,"M220",,6,2.322484121321,0.919936243836
129,,,6,2.168405377457,0.908425248262
130,,,6,2.340985443012,0.903512603508
131,"220",0,6,2.191093431968,0.897131272363
131,"230",0,6,2.120196112478,0.870729288379
131,"M230",0,6,2.229790826677,0.935838183583
131,,0,6,2.122822027836,0.871992951105
131,"230",1,6,2.250737023919,0.895496713776
131,,1,6,2.252471647379,0.895208838092
132,"220",,6,2.063242651877,0.893255702249
132,"230",,6,2.07109313416,0.87625833688
132,"M220",,6,2.119827773598,0.891856867793
132,,,6,2.083913927755,0.881605303758
202,"130",,6,2.243520687131,0.905819729229
202,"240",,6,2.386864288974,0.907607415992
202,"260",,6,2.292462699062,0.903012327254
202,"340",,6,2.200638785761,0.899314507064
202,"M240",,6,2.320767541932,0.925394093799
202,"M260",,6,2.250783654313,0.935419648298
202,"M310",,6,2.365869800419,0.901434070276
202,"M330",,6,2.290748434508,0.912358253452
202,,,6,2.295591234774,0.913185703689
211,"260",,6,2.355955490568,0.904651279221
211,,,6,2.358359447798,0.905462311373
221,"230",,6,1.909978071084,0.645965350533
221,,,6,1.909978071084,0.645965350533
222,"230",,6,1.992238843363,0.605750323394
222,,,6,1.992238843363,0.605750323394
241,"130",,6,2.378956884374,0.815165791852
241,"210",,6,2.352321217132,0.840044116297
241,,,6,2.371876652167,0.819660561604
242,"340",,6,2.115533058086,0.76312243228
242,"M240",,6,2.468046048338,0.924229452735
242,,,6,2.386957496285,0.882454212712
260,,,6,1.999964491999,0.942559224185
261,"130",,6,2.371677774584,0.885184041394
261,"210",,6,2.40554824986,0.931091220493
261,"220",,6,2.531785323476,0.952694421005
261,"M220",,6,2.463884413375,0.918421064223
261,,,6,2.423444796372,0.912869245282
263,"340",,6,2.343390395083,0.962890453233
263,"M240",,6,2.313637041588,0.957111472708
263,,,6,2.320819492498,0.958415881477
264,,,6,2.30440804951,0.942559224185
311,,,6,2.633775314893,0.914221744065
313,,,6,2.518143654078,0.939678042487
314,,,6,2.473107871222,0.895693875803
315,,,6,2.491381868165,0.914221744065
316,"210",,6,2.436960587679,0.928868546808
316,"220",,6,2.581816163495,0.932380744473
316,"230",,6,2.498523812238,0.835176259658
316,"M220",,6,2.509392320362,0.909544424852
316,,,6,2.500241064397,0.88374141693
317,"220",,6,2.641813545371,0.906482972658
317,,,6,2.664858045113,0.895692903484
318,"210",,6,2.370344508184,0.944922217514
318,"220",,6,2.311214149994,0.93442617282
318,"M210",,6,2.244248991535,0.929589658499
318,"M220",,6,2.620892258336,0.918088136651
318,,,6,2.363842996376,0.938627556159
330,"M220",,6,2.511665161827,0.924935095069
330,,,6,2.51257041628,0.926378801455
351,"M240",,6,2.33974574632,0.921133403353
351,,,6,2.344539648007,0.923693746676
370,"230",,6,2.56691236662,0.851839015861
370,"M220",,6,2.501805384345,0.889701048259
370,,,6,2.52329363783,0.873544856067
371,"130",,6,2.814348682438,0.984179291992
371,"210",,6,2.194622984428,0.888301633378
371,"220",,6,2.18843158377,0.9460723967
371,"M210",,6,2.203704193552,0.913895221474
371,"M220",,6,2.650541601242,0.89346213399
371,,,6,2.326737852884,0.9192468438
372,,,6,2.472498631511,0.905071442811
373,,,6,2.714435367399,0.914221744065
375,"130",,6,2.441659786785,0.924048667662
375,"210",,6,2.32711446318,0.938617975854
375,"220",,6,2.198640560954,0.892754511863
375,"M210",,6,2.337232641831,0.94891981591
375,,,6,2.374241254527,0.933325360582
379,,,6,2.388692295458,0.914221744065
391,,,6,2.524928391411,0.902460357794
400,"220",,6,2.423858428801,0.857488620076
400,"230",,6,2.441770007731,0.859526582865
400,"M220",,6,2.403589931134,0.865554193395
400,"M230",,6,2.522831953991,0.961128668727
400,,,6,2.430905595241,0.864969743921
402,,,6,2.448398408064,0.895693875803
403,"220",,6,2.449134707202,0.903225622198
403,,,6,2.39074912123,0.896947270178
404,"230",,6,2.413489657723,0.885403439596
404,,,6,2.413489657723,0.885403439596
405,,,6,2.478900472355,0.895693875803
407,,,6,2.411218817185,0.899160985677
409,,,6,2.50044411555,0.895693875803
421,"220",,6,2.622035050324,0.942845625741
421,,,6,2.622035050324,0.942845625741
460,"230",,6,2.629425824482,0.851642209543
460,,,6,2.643840861199,0.85208304775
461,"230",,6,2.503691452246,0.90601368405
461,,,6,2.503691452246,0.90601368405
462,,,6,2.638271878844,0.902460357794
471,,,6,2.327129564411,0.902460357794
491,"230",,6,2.628770481131,0.878890905605
491,,,6,2.622765312486,0.871626558008
521,"230",,6,2.244302927477,0.861049105942
521,,,6,2.256779260295,0.854768010675
531,"210",,6,2.320736982268,0.944512627114
531,"220",,6,2.286181828843,0.936513016234
531,"230",,6,2.794098687761,0.873295878445
531,"M210",,6,2.305537580767,0.935247966666
531,"M220",,6,2.676337647131,0.899059041871
531,,,6,2.503712085291,0.922426667341
540,"230",,6,2.165550462772,0.774395070684
540,"M220",,6,2.473147847492,0.917732495583
540,,,6,2.255097409942,0.81000959684
541,"210",,6,2.515992448491,0.924060926482
541,"220",,6,2.385411557347,0.939880821682
541,"M210",,6,2.33197580106,0.937726228994
541,"M220",,6,2.643286712686,0.969994279331
541,,,6,2.484769335569,0.930237199202
543,"210",,6,2.307776320373,0.897421403585
543,,,6,2.313812216647,0.903597451941
544,"230",,6,2.552265134189,0.830166133656
544,,,6,2.488153285789,0.857884534069
552,,,6,2.545450581919,0.902460357794
555,"230",,6,2.296837460438,0.790698942572
555,,,6,2.296837460438,0.790698942572
591,"230",,6,2.481503563967,0.928105014469
591,,,6,2.481503563967,0.928105014469
601,,,6,2.516943148816,0.902460357794
602,"220",,6,2.424143029234,0.950547646934
602,"M220",,6,2.502202836361,0.930080404067
602,,,6,2.499796233311,0.945887372378
611,"230",,6,2.282656638532,0.838748052439
611,,,6,2.283517802093,0.83944281436
621,"220",,6,2.466360746654,0.941714455244
621,"230",,6,2.33451333607,0.876582536633
621,"M220",,6,2.421612862753,0.943375272959
621,,,6,2.372655682043,0.904388001423
650,,,6,2.319233912849,0.902460357794
651,"M220",,6,2.389740036558,0.940990495289
651,,,6,2.324881278656,0.932036846624
652,,,6,2.455293370594,0.902460357794
653,"230",,6,2.149596166338,0.756088756994
653,,,6,2.149596166338,0.756088756994
680,,,6,2.858353056226,0.902460357794
691,"230",,6,2.286926620045,0.623051573242
691,,,6,2.286926620045,0.623051573242
693,"220",,6,2.443944110042,0.895127734318
693,"230",,6,2.320240242183,0.819372379174
693,"M220",,6,2.341122507788,0.900278322424
693,,,6,2.336705332356,0.864944712492
694,"230",,6,2.071230649657,0.684052253799
694,,,6,2.071230649657,0.684052253799
701,,,6,2.530702213076,0.902460357794
711,,,6,2.472458958529,0.902460357794
731,"230",,6,2.30041018555,0.835124538954
731,,,6,2.326676793248,0.834775082154
740,"130",,6,2.243790144342,0.871999961609
740,"M330",,6,2.152156100347,0.969447212847
740,,,6,2.254777398503,0.932766525831
741,"130",,6,2.320044511733,0.933560601532
741,"210",,6,2.406351929837,0.920820002987
741,,,6,2.340880628124,0.924655081737
742,,,6,2.5772182151,0.925115047932
743,"130",,6,2.292377306701,0.964387460762
743,"210",,6,2.311375758208,0.970306740239
743,,,6,2.308099836459,0.96736921026
745,,,6,2.750870342649,0.965584036242
746,"130",,6,2.196485783849,0.957638664492
746,"210",,6,2.248339144687,0.950086359767
746,"220",,6,2.217906978453,0.936890779193
746,"M130",,6,2.451986171086,0.994446906801
746,"M330",,6,2.277876716892,0.963595474779
746,,,6,2.217737024787,0.954474602572
762,"210",,6,2.39136093684,0.950609983749
762,"220",,6,2.530477876285,0.961967017186
762,"230",,6,2.515112697511,0.912642176533
762,"M220",,6,2.417498737083,0.962712431877
762,,,6,2.435498049897,0.947256312595
800,"230",,6,2.478170078514,0.873668316104
800,,,6,2.478170078514,0.873668316104
802,"210",,6,2.605951905197,0.889926474993
802,"220",,6,2.431021635505,0.8661631105
802,"230",,6,2.368234502956,0.815443198117
802,"M220",,6,2.413673220682,0.851093936311
802,"M230",,6,2.480182683688,0.913941060474
802,,,6,2.397656373196,0.835018633686
804,,,6,2.549867815844,0.895693875803
806,"220",,6,2.385529309344,0.882220892107
806,"230",,6,2.38685050735,0.831045132843
806,"M220",,6,2.394328554906,0.866263532709
806,,,6,2.392050741136,0.856518917441
809,,,6,2.57975394106,0.895693875803
812,"230",,6,2.434957686163,0.824926387604
812,,,6,2.430894246483,0.827652003645
813,"230",,6,2.327109557086,0.810843012299
813,,,6,2.330417273801,0.811809788057
817,,,6,2.66173442577,0.895693875803
820,"230",,6,2.374065815653,0.800110500485
820,,,6,2.373998029115,0.800346242802
822,"230",,6,2.525892680434,0.880947283979
822,,,6,2.525892680434,0.880947283979
823,,,6,2.523171845374,0.895693875803
825,"230",,6,2.277576596895,0.754766397224
825,,,6,2.283945369611,0.756971713155
826,,,6,2.595277688385,0.895693875803
827,"230",,6,2.41538228072,0.839266917262
827,,,6,2.41538228072,0.839266917262
828,"230",,6,2.544569441955,0.87217364367
828,,,6,2.544569441955,0.87217364367
830,,,6,2.575554919996,0.895693875803
831,"230",,6,2.480055545414,0.835312318618
831,,,6,2.476835259222,0.834920863235
832,"220",,6,2.439776307756,0.922999813735
832,"230",,6,2.46533765954,0.896245651362
832,"M220",,6,2.445861834893,0.909950840055
832,,,6,2.450485705415,0.908883498543
833,"210",,6,2.433354119172,0.892772812638
833,"220",,6,2.476535009321,0.892300820683
833,"230",,6,2.303017093688,0.806732870276
833,"M220",,6,2.482979108945,0.887190619919
833,,,6,2.437105961565,0.874737566567
834,,,6,2.599079762895,0.895693875803
835,"220",,6,2.546574110539,0.904814857222
835,"230",,6,2.46796614944,0.841875682298
835,,,6,2.484033947115,0.855892084131
837,"220",,6,2.431655450681,0.888874861644
837,"230",,6,2.404156898672,0.832740045229
837,"M210",,6,2.26246668695,0.908913582407
837,"M220",,6,2.454223205094,0.879063389189
837,,,6,2.426763441358,0.8716335072
838,"230",,6,2.61485067581,0.852650936999
838,,,6,2.61485067581,0.852650936999
901,"M220",,6,2.484302556441,0.922023406929
901,,,6,2.486563201541,0.918070279877
920,,,6,2.355911112697,0.965584036242
922,,,6,2.521901805306,0.965584036242
931,,,6,2.196547242483,0.902460357794
950,"210",,6,1.884744112,0.827486236847
950,"M220",,6,2.354532009675,0.950834226533
950,,,6,2.091127405823,0.873285578539
951,"210",,6,2.302846226769,0.952512915091
951,"220",,6,2.373852809743,0.93250435061
951,,,6,2.321775129113,0.950405419302
970,"230",,6,2.470065214477,0.852413996698
970,,,6,2.476714228773,0.855815791256
971,,,6,2.565858523493,0.902460357794
972,"210",,6,2.776398290661,0.889107149582
972,,,6,2.715680442955,0.890875629787
975,,,6,2.239892081381,0.902460357794
999,"230",,6,2.476866562011,0.842332131774
999,"M220",,6,2.306852741587,0.869370347056
999,,,6,2.385998142067,0.852145003033
