"a","b","c","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
0.00106282020639038,1.42737994583175,1.51553132349006,"242 340",NA,NA
0.0129732293581917,2.00796675425792,0.605039199635552,"242 M240",NA,NA
0.00256435423883821,1.89954097980069,1.07621726248985,"261 130",NA,NA
0.00390009250997442,1.89551673425712,0.969576118213574,"261 210",NA,NA
0.0048324756758089,1.84579385082135,0.949173775033086,"261 220",NA,NA
0.0065574671065682,2.23521731418418,0.615706225935632,"261 M220",NA,NA
0.00229342565062446,1.72113284442022,1.18713107483747,"263 340",NA,NA
0.0063426197953104,1.94699327013289,0.834135352655184,"263 M240",NA,NA
0.00346963988087986,1.86059448215898,1.00242378826544,"316 210",NA,NA
0.00388987282753836,1.77581613813606,1.02209445139092,"316 220",NA,NA
0.00402834670060209,1.77137350893324,1.00815541570371,"316 230",NA,NA
0.00337246153986346,1.90987396688092,0.975448469543114,"316 M220",NA,NA
0.00194748094938011,1.74053733368571,1.18818229463646,"317 220",NA,NA
0.00285319019347671,1.9255721423768,1.03132919440407,"318 210",NA,NA
0.00458866320908658,1.94872803071667,0.913605298879509,"318 220",NA,NA
0.00317010122449183,1.93125826447402,1.01004584105606,"318 M210",NA,NA
0.00188517972269804,1.92237062816364,1.10720705289197,"318 M220",NA,NA
0.00250999116278204,1.8892913309355,1.06131345714476,"330 M220",NA,NA
0.00325516501883742,1.97897466950654,0.968100592950985,"351 M240",NA,NA
0.00775832054545983,1.86784868568295,0.790813035571241,"370 230",NA,NA
0.00410448287686111,1.80554353416967,0.990507429512818,"370 M220",NA,NA
0.00875919781238163,1.96808991258216,0.69176191280665,"371 130",NA,NA
0.00833280657111081,2.02229259624541,0.716005432957136,"371 210",NA,NA
0.00559372785633694,1.94946220487382,0.870484016929791,"371 220",NA,NA
0.00538796093553192,1.96272548639158,0.868507778275888,"371 M210",NA,NA
0.00272078903612357,1.88408674322179,1.05310160604076,"371 M220",NA,NA
0.00372594735170156,1.86008792442088,0.990301448681623,"375 130",NA,NA
0.00257064003709302,1.86116288044908,1.08475779392625,"375 210",NA,NA
0.00912159060178293,1.9585708674627,0.734030865232152,"375 220",NA,NA
0.0087490730734209,1.95223185528008,0.748025684550419,"375 M210",NA,NA
0.00264531170685857,1.73447545619819,1.1482493218727,"400 220",NA,NA
