"a","b","c","b2","a1","b1","c1","a0","b0","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
1.12666751283265,2.29682028999287,-0.706002062899083,NA,NA,NA,NA,NA,NA,"611 230",NA,NA
6.84022518719137,2.56528581332582,-1.28533072446849,NA,NA,NA,NA,NA,NA,"621 230",NA,NA
16.4781197172953,2.63421705199665,-1.45794419836126,NA,NA,NA,NA,NA,NA,"621 M220",NA,NA
11.3540243579325,2.44571949181498,-1.47959149855766,NA,NA,NA,NA,NA,NA,"691 230",NA,NA
15.1450861400458,3.154480318865,-1.85217408045179,NA,NA,NA,NA,NA,NA,"694 230",NA,NA
1.86723364589036,2.18131043432197,-0.715231686066361,NA,NA,NA,NA,NA,NA,"71 210",NA,NA
2.33276706070877,2.19283098571595,-0.845807782918254,NA,NA,NA,NA,NA,NA,"73 M330",NA,NA
6.05828936216699,2.77055390343897,-1.51573890077385,NA,NA,NA,NA,NA,NA,"740 230",NA,NA
0.339557950112135,1.61290223388395,-0.118743686512476,NA,NA,NA,NA,NA,NA,"741 210",NA,NA
21.7389309197938,2.47100112868023,-1.34510480283413,NA,NA,NA,NA,NA,NA,"742 230",NA,NA
8.96835988248342,2.36603481522093,-1.32195559877505,NA,NA,NA,NA,NA,NA,"743 210",NA,NA
2.81361714197082,2.5782450707744,-1.09278308745319,NA,NA,NA,NA,NA,NA,"746 130",NA,NA
2.72016228225036,2.54309840536723,-1.09897763004874,NA,NA,NA,NA,NA,NA,"746 210",NA,NA
0.881281197627602,1.72220595153432,-0.526259051722177,NA,NA,NA,NA,NA,NA,"746 M330",NA,NA
1.61568819426261,1.53436196535035,-0.50710455423613,NA,NA,NA,NA,NA,NA,"762 210",NA,NA
0.00321188996810462,1.24231268681718,1.34044399034685,NA,NA,NA,NA,NA,NA,"802 210",NA,NA
2.74492627068482,2.14255876627415,-0.716580546557109,NA,NA,NA,NA,NA,NA,"802 220",NA,NA
0.241927479046772,2.43074134430314,-0.19489420851007,NA,NA,NA,NA,NA,NA,"802 230",NA,NA
0.0383240195087417,1.74065575523187,0.500290249117963,NA,NA,NA,NA,NA,NA,"802 M220",NA,NA
0.465147776431995,1.97007539912346,-0.249313107084455,NA,NA,NA,NA,NA,NA,"822 230",NA,NA
9.41228436997495,2.33841486621602,-1.01129407579919,NA,NA,NA,NA,NA,NA,"827 230",NA,NA
7.24926116510244,1.85868879260735,-0.75625814899683,NA,NA,NA,NA,NA,NA,"828 230",NA,NA
0.121217900079981,1.64592372468877,0.244195471867738,NA,NA,NA,NA,NA,NA,"831 230",NA,NA
0.420062362383125,2.11695178649131,-0.262764457829676,NA,NA,NA,NA,NA,NA,"832 M220",NA,NA
