"alpha","beta","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
2.28566915654162,0.925441746464231,"202 260",NA,NA
2.20800583190406,0.925765983218682,"202 340",NA,NA
2.16603796638371,0.930827124791822,"202 M210",NA,NA
2.20368717948649,0.930524571526678,"202 M240",NA,NA
2.24438589595584,0.962234908564783,"202 M260",NA,NA
2.33196293427849,0.933156888236955,"202 M310",NA,NA
2.1922671437985,0.909486699052037,"202 M330",NA,NA
2.27632424600518,0.93362267616928,"211 260",NA,NA
1.94710357570559,0.638577318368314,"221 230",NA,NA
2.07811962870129,0.596221865950279,"222 230",NA,NA
2.34554217738274,0.823129451274417,"241 210",NA,NA
2.08114008427337,0.778086279238832,"242 240",NA,NA
2.1473957019068,0.754004660637254,"242 340",NA,NA
2.16582761496203,0.814826432969077,"242 M210",NA,NA
2.27684786306846,0.802186562188283,"242 M240",NA,NA
2.16400566879958,0.756555546556639,"242 M330",NA,NA
2.26672683530164,0.943209957325661,"260 M210",NA,NA
2.33335016185878,0.969401039575865,"260 M240",NA,NA
2.38796879742478,0.967472500848281,"260 M330",NA,NA
2.38953164698844,0.926414954933634,"261 210",NA,NA
2.5041769203718,0.916688174949112,"261 M220",NA,NA
2.32949943835817,0.93202349164712,"263 240",NA,NA
2.36094594093147,0.959035285468221,"263 340",NA,NA
2.20275625928139,0.95773913940181,"263 M210",NA,NA
2.25868851693522,0.936155539077519,"263 M240",NA,NA
2.36076665551348,0.95195463046788,"263 M330",NA,NA
2.31570468006844,0.923271831973564,"264 M240",NA,NA
2.43975923680485,0.910390950492823,"312 M240",NA,NA
2.46605694286382,0.926878790193501,"316 210",NA,NA
2.5812203180287,0.924964875494909,"316 220",NA,NA
2.54295827148837,0.831715881676357,"316 230",NA,NA
2.53922677550458,0.898401820012268,"316 M220",NA,NA
2.38158510931548,0.940132447366998,"318 210",NA,NA
2.39589657472058,0.929462902435163,"318 220",NA,NA
2.16553530627972,0.908320936276018,"318 M210",NA,NA
2.63219391113466,0.89627417876229,"318 M220",NA,NA
2.56653466649609,0.916637736990415,"330 M220",NA,NA
2.292309074158,0.929978363888898,"351 M240",NA,NA
2.62352110757531,0.857236804134655,"370 230",NA,NA
2.52993164925199,0.88489152130961,"370 M220",NA,NA
2.84369716933253,0.984321080069381,"371 130",NA,NA
2.22494911066416,0.888751355282064,"371 210",NA,NA
2.22418219534828,0.943114207871913,"371 220",NA,NA
2.21906527234057,0.908484906629088,"371 M210",NA,NA
2.47487888197146,0.927595162326376,"375 130",NA,NA
2.37675358693806,0.934943698169241,"375 210",NA,NA
2.27674632115094,0.892049889591042,"375 220",NA,NA
2.30664740103594,0.928218283098135,"375 M130",NA,NA
2.37607311287821,0.939076123600543,"375 M210",NA,NA
2.38297566065738,0.930383796056828,"375 M330",NA,NA
2.44461802214405,0.850801072156255,"400 220",NA,NA
2.45734773998422,0.855820967293618,"400 230",NA,NA
2.41815247219556,0.859190798933569,"400 M220",NA,NA
2.56815799227365,0.951819520909162,"400 M230",NA,NA
2.49547608917306,0.900883028181302,"403 220",NA,NA
2.49747157549634,0.870014511946652,"404 230",NA,NA
2.22925685117703,0.880790775738475,"42 M240",NA,NA
2.63524529679963,0.948045680738316,"421 220",NA,NA
2.10514289998601,0.838304364464614,"43 230",NA,NA
2.66851289431128,0.845346304115607,"460 230",NA,NA
2.56608264195548,0.906709212573989,"461 230",NA,NA
2.66641958604162,0.880964822626692,"491 230",NA,NA
2.28002911980797,0.86308222962445,"521 230",NA,NA
2.33511669961332,0.94183189214816,"531 210",NA,NA
2.18760426005789,0.940140023390952,"531 220",NA,NA
2.8154760605592,0.866728127060603,"531 230",NA,NA
2.23969015488381,0.926508462351274,"531 M210",NA,NA
