CN,STRATUM_CN,PLT_CN,STATECD,INVYR,UNITCD,COUNTYCD,PLOT,RSCD,EVALID,ESTN_UNIT,STRATUMCD,CREATED_DATE,MODIFIED_DATE
74760121010538,74759926010538,60135220010538,10,2004,1,3,212,24,100600,2,1,2009-04-29 10:59:32,
74760144010538,74759927010538,60135304010538,10,2004,1,3,222,24,100600,2,2,2009-04-29 10:59:32,
74760056010538,74759926010538,60135424010538,10,2004,1,3,227,24,100600,2,1,2009-04-29 10:59:32,
74760150010538,74759928010538,65361777010538,10,2005,1,3,261,24,100600,2,3,2009-04-29 10:59:32,
74760132010538,74759926010538,60135262010538,10,2004,1,3,273,24,100600,2,1,2009-04-29 10:59:32,
74760165010538,74759930010538,65355559010538,10,2005,1,3,278,24,100600,2,5,2009-04-29 10:59:32,
74760151010538,74759928010538,60135318010538,10,2004,1,3,286,24,100600,2,3,2009-04-29 10:59:32,
74760142010538,74759927010538,65361861010538,10,2005,1,3,293,24,100600,2,2,2009-04-29 10:59:32,
74760067010538,74759926010538,65361975010538,10,2005,1,3,303,24,100600,2,1,2009-04-29 10:59:32,
74760129010538,74759926010538,60135248010538,10,2004,1,3,338,24,100600,2,1,2009-04-29 10:59:32,
74760143010538,74759927010538,65355426010538,10,2005,1,3,373,24,100600,2,2,2009-04-29 10:59:32,
74760164010538,74759930010538,60135525010538,10,2004,1,3,375,24,100600,2,5,2009-04-29 10:59:32,
74760065010538,74759926010538,60135497010538,10,2004,1,3,379,24,100600,2,1,2009-04-29 10:59:32,
74760068010538,74759926010538,73491373010538,10,2006,1,3,380,24,100600,2,1,2009-04-29 10:59:32,
74760061010538,74759926010538,60135467010538,10,2004,1,3,412,24,100600,2,1,2009-04-29 10:59:32,
74760066010538,74759926010538,60135511010538,10,2004,1,3,418,24,100600,2,1,2009-04-29 10:59:32,
74760136010538,74759926010538,73491039010538,10,2006,1,3,436,24,100600,2,1,2009-04-29 10:59:32,
74760185010538,74759930010538,73490960010538,10,2006,1,3,452,24,100600,2,5,2009-04-29 10:59:32,
74760127010538,74759926010538,65361847010538,10,2005,1,3,459,24,100600,2,1,2009-04-29 10:59:32,
74760161010538,74759929010538,73490811010538,10,2006,1,3,460,24,100600,2,4,2009-04-29 10:59:32,
74760052010538,74759926010538,65361919010538,10,2005,1,3,475,24,100600,2,1,2009-04-29 10:59:32,
74760149010538,74759928010538,73490828010538,10,2006,1,3,480,24,100600,2,3,2009-04-29 10:59:32,
74760184010538,74759930010538,65339163010538,10,2004,1,3,483,24,100600,2,5,2009-04-29 10:59:32,
74760163010538,74759930010538,73491206010538,10,2006,1,3,485,24,100600,2,5,2009-04-29 10:59:32,
74760133010538,74759926010538,60135276010538,10,2004,1,3,510,24,100600,2,1,2009-04-29 10:59:32,
74760060010538,74759926010538,73491339010538,10,2006,1,3,513,24,100600,2,1,2009-04-29 10:59:32,
74760152010538,74759929010538,60135438010538,10,2004,1,3,519,24,100600,2,4,2009-04-29 10:59:32,
74760059010538,74759926010538,60135452010538,10,2004,1,3,521,24,100600,2,1,2009-04-29 10:59:32,
74760069010538,74759926010538,65355648010538,10,2005,1,3,548,24,100600,2,1,2009-04-29 10:59:32,
74760071010538,74759926010538,60135614010538,10,2004,1,3,550,24,100600,2,1,2009-04-29 10:59:32,
74760055010538,74759926010538,73491189010538,10,2006,1,3,567,24,100600,2,1,2009-04-29 10:59:32,
74760137010538,74759926010538,73491138010538,10,2006,1,3,572,24,100600,2,1,2009-04-29 10:59:32,
74760138010538,74759926010538,73491155010538,10,2006,1,3,573,24,100600,2,1,2009-04-29 10:59:32,
74760062010538,74759926010538,73491356010538,10,2006,1,3,575,24,100600,2,1,2009-04-29 10:59:32,
74760146010538,74759927010538,60135361010538,10,2004,1,3,577,24,100600,2,2,2009-04-29 10:59:32,
74760063010538,74759926010538,60135483010538,10,2004,1,3,579,24,100600,2,1,2009-04-29 10:59:32,
74760124010538,74759926010538,65361819010538,10,2005,1,3,580,24,100600,2,1,2009-04-29 10:59:32,
74760070010538,74759926010538,73491474010538,10,2006,1,3,582,24,100600,2,1,2009-04-29 10:59:32,
74760145010538,74759927010538,60135347010538,10,2004,1,3,589,24,100600,2,2,2009-04-29 10:59:32,
74760057010538,74759926010538,65361933010538,10,2005,1,3,598,24,100600,2,1,2009-04-29 10:59:32,
74760064010538,74759926010538,65361961010538,10,2005,1,3,601,24,100600,2,1,2009-04-29 10:59:32,
74760054010538,74759926010538,60135375010538,10,2004,1,3,605,24,100600,2,1,2009-04-29 10:59:32,
74760072010538,74759926010538,74757867010538,10,2006,1,3,624,24,100600,2,1,2009-04-29 10:59:32,
74759967010538,74759921010538,65362295010538,10,2005,1,5,7,24,100600,1,1,2009-04-29 10:59:32,
74760010010538,74759923010538,60137098010538,10,2004,1,5,11,24,100600,1,3,2009-04-29 10:59:32,
74760006010538,74759923010538,60136328010538,10,2004,1,5,15,24,100600,1,3,2009-04-29 10:59:32,
74760020010538,74759924010538,73491909010538,10,2006,1,5,18,24,100600,1,4,2009-04-29 10:59:32,
74760048010538,74759925010538,60136983010538,10,2004,1,5,21,24,100600,1,5,2009-04-29 10:59:32,
74760002010538,74759922010538,65362280010538,10,2005,1,5,23,24,100600,1,2,2009-04-29 10:59:32,
74759947010538,74759921010538,65356953010538,10,2005,1,5,37,24,100600,1,1,2009-04-29 10:59:32,
74760024010538,74759924010538,65357263010538,10,2005,1,5,41,24,100600,1,4,2009-04-29 10:59:32,
74759936010538,74759921010538,60136246010538,10,2004,1,5,42,24,100600,1,1,2009-04-29 10:59:32,
74759944010538,74759921010538,73492074010538,10,2006,1,5,47,24,100600,1,1,2009-04-29 10:59:32,
74759999010538,74759922010538,60135902010538,10,2004,1,5,64,24,100600,1,2,2009-04-29 10:59:32,
74760036010538,74759925010538,65356554010538,10,2005,1,5,65,24,100600,1,5,2009-04-29 10:59:32,
74759935010538,74759921010538,65361989010538,10,2005,1,5,73,24,100600,1,1,2009-04-29 10:59:32,
74759961010538,74759921010538,65362073010538,10,2005,1,5,83,24,100600,1,1,2009-04-29 10:59:32,
74759938010538,74759921010538,73492040010538,10,2006,1,5,86,24,100600,1,1,2009-04-29 10:59:32,
74759952010538,74759921010538,65362031010538,10,2005,1,5,94,24,100600,1,1,2009-04-29 10:59:32,
74760046010538,74759925010538,73492439010538,10,2006,1,5,98,24,100600,1,5,2009-04-29 10:59:32,
74760025010538,74759924010538,73492650010538,10,2006,1,5,100,24,100600,1,4,2009-04-29 10:59:32,
74760008010538,74759923010538,65362181010538,10,2005,1,5,101,24,100600,1,3,2009-04-29 10:59:32,
74759942010538,74759921010538,60136314010538,10,2004,1,5,102,24,100600,1,1,2009-04-29 10:59:32,
74760043010538,74759925010538,73492323010538,10,2006,1,5,116,24,100600,1,5,2009-04-29 10:59:32,
74759988010538,74759921010538,73493057010538,10,2006,1,5,117,24,100600,1,1,2009-04-29 10:59:32,
74759939010538,74759921010538,60136274010538,10,2004,1,5,119,24,100600,1,1,2009-04-29 10:59:32,
74760028010538,74759924010538,73492906010538,10,2006,1,5,129,24,100600,1,4,2009-04-29 10:59:32,
74759973010538,74759921010538,60136840010538,10,2004,1,5,137,24,100600,1,1,2009-04-29 10:59:32,
74759971010538,74759921010538,73492410010538,10,2006,1,5,138,24,100600,1,1,2009-04-29 10:59:32,
74760022010538,74759924010538,60136260010538,10,2004,1,5,144,24,100600,1,4,2009-04-29 10:59:32,
74760017010538,74759924010538,60136022010538,10,2004,1,5,151,24,100600,1,4,2009-04-29 10:59:32,
74759985010538,74759921010538,60137345010538,10,2004,1,5,154,24,100600,1,1,2009-04-29 10:59:32,
74759968010538,74759921010538,73492393010538,10,2006,1,5,156,24,100600,1,1,2009-04-29 10:59:32,
74759931010538,74759921010538,60135627010538,10,2004,1,5,158,24,100600,1,1,2009-04-29 10:59:32,
74759976010538,74759921010538,65362425010538,10,2005,1,5,161,24,100600,1,1,2009-04-29 10:59:32,
74759993010538,74759921010538,65362589010538,10,2005,1,5,163,24,100600,1,1,2009-04-29 10:59:32,
74760023010538,74759924010538,65356968010538,10,2005,1,5,167,24,100600,1,4,2009-04-29 10:59:32,
74759954010538,74759921010538,73492159010538,10,2006,1,5,173,24,100600,1,1,2009-04-29 10:59:32,
74759975010538,74759921010538,60136873010538,10,2004,1,5,179,24,100600,1,1,2009-04-29 10:59:32,
74759991010538,74759921010538,73493091010538,10,2006,1,5,182,24,100600,1,1,2009-04-29 10:59:32,
74759950010538,74759921010538,60136471010538,10,2004,1,5,187,24,100600,1,1,2009-04-29 10:59:32,
74760019010538,74759924010538,65356214010538,10,2005,1,5,190,24,100600,1,4,2009-04-29 10:59:32,
74760042010538,74759925010538,60136684010538,10,2004,1,5,194,24,100600,1,5,2009-04-29 10:59:32,
74760015010538,74759924010538,73491587010538,10,2006,1,5,195,24,100600,1,4,2009-04-29 10:59:32,
74759969010538,74759921010538,60136778010538,10,2004,1,5,200,24,100600,1,1,2009-04-29 10:59:32,
74759962010538,74759921010538,73492176010538,10,2006,1,5,205,24,100600,1,1,2009-04-29 10:59:32,
74760005010538,74759923010538,73491491010538,10,2006,1,5,215,24,100600,1,3,2009-04-29 10:59:32,
74759992010538,74759921010538,60137502010538,10,2004,1,5,216,24,100600,1,1,2009-04-29 10:59:32,
74760007010538,74759923010538,65357146010538,10,2005,1,5,226,24,100600,1,3,2009-04-29 10:59:32,
74760039010538,74759925010538,60136485010538,10,2004,1,5,235,24,100600,1,5,2009-04-29 10:59:32,
74759983010538,74759921010538,60137234010538,10,2004,1,5,237,24,100600,1,1,2009-04-29 10:59:32,
74759980010538,74759921010538,73492753010538,10,2006,1,5,243,24,100600,1,1,2009-04-29 10:59:32,
74760026010538,74759924010538,60137125010538,10,2004,1,5,249,24,100600,1,4,2009-04-29 10:59:32,
74760033010538,74759925010538,60136143010538,10,2004,1,5,252,24,100600,1,5,2009-04-29 10:59:32,
74759940010538,74759921010538,65356899010538,10,2005,1,5,260,24,100600,1,1,2009-04-29 10:59:32,
74760045010538,74759925010538,65362309010538,10,2005,1,5,270,24,100600,1,5,2009-04-29 10:59:32,
74759949010538,74759921010538,73492091010538,10,2006,1,5,275,24,100600,1,1,2009-04-29 10:59:32,
74759998010538,74759922010538,65355954010538,10,2005,1,5,276,24,100600,1,2,2009-04-29 10:59:32,
74759994010538,74759921010538,73493126010538,10,2006,1,5,280,24,100600,1,1,2009-04-29 10:59:32,
74759959010538,74759921010538,60136643010538,10,2004,1,5,281,24,100600,1,1,2009-04-29 10:59:32,
74760013010538,74759924010538,60135750010538,10,2004,1,5,284,24,100600,1,4,2009-04-29 10:59:32,
74760003010538,74759922010538,60136765010538,10,2004,1,5,295,24,100600,1,2,2009-04-29 10:59:32,
74759981010538,74759921010538,60137111010538,10,2004,1,5,296,24,100600,1,1,2009-04-29 10:59:32,
74760014010538,74759924010538,60135800010538,10,2004,1,5,299,24,100600,1,4,2009-04-29 10:59:32,
74759966010538,74759921010538,65362266010538,10,2005,1,5,301,24,100600,1,1,2009-04-29 10:59:32,
74759978010538,74759921010538,73492719010538,10,2006,1,5,302,24,100600,1,1,2009-04-29 10:59:32,
74759955010538,74759921010538,65362045010538,10,2005,1,5,313,24,100600,1,1,2009-04-29 10:59:32,
74760031010538,74759925010538,73491682010538,10,2006,1,5,322,24,100600,1,5,2009-04-29 10:59:32,
74760051010538,74759925010538,65362467010538,10,2005,1,5,325,24,100600,1,5,2009-04-29 10:59:32,
74759995010538,74759921010538,73493143010538,10,2006,1,5,330,24,100600,1,1,2009-04-29 10:59:32,
74759982010538,74759921010538,65362439010538,10,2005,1,5,334,24,100600,1,1,2009-04-29 10:59:32,
74760016010538,74759924010538,65356076010538,10,2005,1,5,340,24,100600,1,4,2009-04-29 10:59:32,
74759933010538,74759921010538,73491570010538,10,2006,1,5,341,24,100600,1,1,2009-04-29 10:59:32,
74759987010538,74759921010538,65362453010538,10,2005,1,5,344,24,100600,1,1,2009-04-29 10:59:32,
74760029010538,74759925010538,65355698010538,10,2005,1,5,345,24,100600,1,5,2009-04-29 10:59:32,
74759979010538,74759921010538,73492736010538,10,2006,1,5,346,24,100600,1,1,2009-04-29 10:59:32,
74760044010538,74759925010538,65357707010538,10,2005,1,5,347,24,100600,1,5,2009-04-29 10:59:32,
74760032010538,74759925010538,60135915010538,10,2004,1,5,352,24,100600,1,5,2009-04-29 10:59:32,
74759948010538,74759921010538,60136457010538,10,2004,1,5,354,24,100600,1,1,2009-04-29 10:59:32,
74759953010538,74759921010538,73492142010538,10,2006,1,5,355,24,100600,1,1,2009-04-29 10:59:32,
74760050010538,74759925010538,60137359010538,10,2004,1,5,356,24,100600,1,5,2009-04-29 10:59:32,
74760047010538,74759925010538,60136956010538,10,2004,1,5,359,24,100600,1,5,2009-04-29 10:59:32,
74759937010538,74759921010538,65356886010538,10,2005,1,5,369,24,100600,1,1,2009-04-29 10:59:32,
74760034010538,74759925010538,65356282010538,10,2005,1,5,377,24,100600,1,5,2009-04-29 10:59:32,
74760011010538,74759924010538,60135641010538,10,2004,1,5,382,24,100600,1,4,2009-04-29 10:59:32,
74759972010538,74759921010538,60136827010538,10,2004,1,5,384,24,100600,1,1,2009-04-29 10:59:32,
74759934010538,74759921010538,65356669010538,10,2005,1,5,395,24,100600,1,1,2009-04-29 10:59:32,
74759963010538,74759921010538,60136671010538,10,2004,1,5,398,24,100600,1,1,2009-04-29 10:59:32,
74760001010538,74759922010538,60136374010538,10,2004,1,5,405,24,100600,1,2,2009-04-29 10:59:32,
74759997010538,74759922010538,65355837010538,10,2005,1,5,410,24,100600,1,2,2009-04-29 10:59:32,
74759965010538,74759921010538,73492193010538,10,2006,1,5,414,24,100600,1,1,2009-04-29 10:59:32,
74760041010538,74759925010538,65357492010538,10,2005,1,5,421,24,100600,1,5,2009-04-29 10:59:32,
74760027010538,74759924010538,73492770010538,10,2006,1,5,427,24,100600,1,4,2009-04-29 10:59:32,
74759986010538,74759921010538,73493027010538,10,2006,1,5,431,24,100600,1,1,2009-04-29 10:59:32,
74759958010538,74759921010538,60136629010538,10,2004,1,5,432,24,100600,1,1,2009-04-29 10:59:32,
74760018010538,74759924010538,73491803010538,10,2006,1,5,440,24,100600,1,4,2009-04-29 10:59:32,
74760000010538,74759922010538,65362003010538,10,2005,1,5,441,24,100600,1,2,2009-04-29 10:59:32,
74759984010538,74759921010538,73492889010538,10,2006,1,5,446,24,100600,1,1,2009-04-29 10:59:32,
74759941010538,74759921010538,60136300010538,10,2004,1,5,447,24,100600,1,1,2009-04-29 10:59:32,
74760012010538,74759924010538,65355740010538,10,2005,1,5,457,24,100600,1,4,2009-04-29 10:59:32,
74759970010538,74759921010538,60136792010538,10,2004,1,5,462,24,100600,1,1,2009-04-29 10:59:32,
74760009010538,74759923010538,73492244010538,10,2006,1,5,463,24,100600,1,3,2009-04-29 10:59:32,
74759932010538,74759921010538,73491524010538,10,2006,1,5,464,24,100600,1,1,2009-04-29 10:59:32,
74759951010538,74759921010538,73492125010538,10,2006,1,5,472,24,100600,1,1,2009-04-29 10:59:32,
74760040010538,74759925010538,65357276010538,10,2005,1,5,487,24,100600,1,5,2009-04-29 10:59:32,
74759956010538,74759921010538,65362059010538,10,2005,1,5,493,24,100600,1,1,2009-04-29 10:59:32,
74760037010538,74759925010538,65356765010538,10,2005,1,5,494,24,100600,1,5,2009-04-29 10:59:32,
74760004010538,74759922010538,65362603010538,10,2005,1,5,501,24,100600,1,2,2009-04-29 10:59:32,
74759996010538,74759921010538,73493160010538,10,2006,1,5,525,24,100600,1,1,2009-04-29 10:59:32,
74759964010538,74759921010538,65362252010538,10,2005,1,5,537,24,100600,1,1,2009-04-29 10:59:32,
74759943010538,74759921010538,73492057010538,10,2006,1,5,541,24,100600,1,1,2009-04-29 10:59:32,
74759990010538,74759921010538,65362575010538,10,2005,1,5,547,24,100600,1,1,2009-04-29 10:59:32,
74759957010538,74759921010538,60136615010538,10,2004,1,5,556,24,100600,1,1,2009-04-29 10:59:32,
74760049010538,74759925010538,60137248010538,10,2004,1,5,559,24,100600,1,5,2009-04-29 10:59:32,
74759945010538,74759921010538,65362017010538,10,2005,1,5,560,24,100600,1,1,2009-04-29 10:59:32,
74759977010538,74759921010538,60136969010538,10,2004,1,5,571,24,100600,1,1,2009-04-29 10:59:32,
74759989010538,74759921010538,73493074010538,10,2006,1,5,583,24,100600,1,1,2009-04-29 10:59:32,
74760021010538,74759924010538,73491925010538,10,2006,1,5,585,24,100600,1,4,2009-04-29 10:59:32,
74759946010538,74759921010538,65356940010538,10,2005,1,5,586,24,100600,1,1,2009-04-29 10:59:32,
74759974010538,74759921010538,65362411010538,10,2005,1,5,590,24,100600,1,1,2009-04-29 10:59:32,
74760030010538,74759925010538,73491508010538,10,2006,1,5,594,24,100600,1,5,2009-04-29 10:59:32,
74760035010538,74759925010538,65356424010538,10,2005,1,5,595,24,100600,1,5,2009-04-29 10:59:32,
74760038010538,74759925010538,73492108010538,10,2006,1,5,603,24,100600,1,5,2009-04-29 10:59:32,
74759960010538,74759921010538,60136657010538,10,2004,1,5,607,24,100600,1,1,2009-04-29 10:59:32,
74761320010538,74761087010538,65355051010538,10,2005,1,1,9,24,100601,2,5,2009-04-29 10:59:32,
74761205010538,74761083010538,65354716010538,10,2005,1,1,10,24,100601,2,1,2009-04-29 10:59:32,
74761323010538,74761087010538,60135108010538,10,2004,1,1,30,24,100601,2,5,2009-04-29 10:59:32,
74761247010538,74761083010538,60135193010538,10,2004,1,1,33,24,100601,2,1,2009-04-29 10:59:32,
74761319010538,74761087010538,73490478010538,10,2006,1,1,43,24,100601,2,5,2009-04-29 10:59:32,
74761318010538,74761087010538,60134557010538,10,2004,1,1,48,24,100601,2,5,2009-04-29 10:59:32,
74761204010538,74761083010538,65361636010538,10,2005,1,1,51,24,100601,2,1,2009-04-29 10:59:32,
