"SPCD","DIVISION","STDORGCD","equation","a","a0","b","b0","b1","c"
202,"M260",,1,0.843599248491,,2.649405413686,,,-0.473312712265
202,"M330",,1,18.708786407325,,3.289218661347,,,-1.474720141393
202,,,1,6.308889591776,,2.279290294031,,,-0.624651961217
211,,,1,40.637385292922,,3.208073725061,,,-1.822117031702
221,,,1,40.637385292922,,3.208073741287,,,-1.822117031702
222,"230",,1,2.013564e-06,,2.27046200699,,,2.638610445724
222,,,1,2.013564e-06,,2.27046200699,,,2.638610445724
241,"210",,1,2.807057634955,,3.27061548611,,,-1.142255091169
241,,,1,2.807057634955,,3.27061548611,,,-1.142255091169
261,"210",,1,0.209520151465,,2.59999767764,,,0.030682068316
261,"M220",,1,2.163238691555,,2.490148365493,,,-0.37116231594
261,,,1,0.190102207137,,2.380522491469,,,0.214711884654
263,,,1,21.550545571399,,2.975974248512,,,-1.290857469805
264,,,1,1.767896986243,,2.412041061834,,,-0.440089360033
313,"230",,1,5.178883874681,,4.051628802483,,,-1.508197246819
313,,,1,5.178883874681,,4.051628802483,,,-1.508197246819
316,"210",,1,0.018713617643,,2.611545759793,,,0.706802784019
316,"230",,1,0.650481799433,,3.660192372895,,,-0.773985537516
316,"M220",,1,0.013549262378,,4.309841290083,,,-0.246339129402
316,,,1,0.011144618401,,3.269520661293,,,0.421304343724
317,,,1,3287.21253071813,,3.842100097349,,,-2.804812895421
318,"210",,1,0.114467502845,,2.323367173274,,,0.480514904949
318,,,1,0.000593508129,,2.41239359453,,,1.667537289072
370,,,1,2.243999638997,,3.172031729883,,,-0.698427914221
371,"210",,1,0.002455462911,,2.36487283486,,,1.34170808961
371,,,1,0.006040683883,,2.371198347549,,,1.129119601052
375,"210",,1,21.601371748954,,3.225808314183,,,-1.344948117146
375,"M210",,1,0.292824996677,,2.808504212671,,,-0.283122560781
375,,,1,53.536419540074,,3.564350977677,,,-1.781283041955
391,,,1,1.410201355631,,2.781242550588,,,-0.314666479291
400,"210",,1,0.001634244461,,2.627497151347,,,1.344829093092
400,"230",,1,0.010690367435,,3.319883186842,,,0.459778969112
400,"M220",,1,2.129226818835,,3.68669452634,,,-0.96239596051
400,,,1,0.588387535362,,3.205600343098,,,-0.366389800119
402,,,1,0.758420483721,,3.022696028241,,,-0.257945085481
403,,,1,0.758420483721,,2.822908141552,,,-0.257945085481
460,,,1,1.966990266175,,3.130869139278,,,-0.65210832348
461,"230",,1,0.002476965604,,2.539060701537,,,1.226204099531
461,,,1,0.002476965604,,2.539060701537,,,1.226204099531
462,,,1,1.966990266175,,3.215183441108,,,-0.65210832348
471,,,1,1.966990266175,,3.187916366543,,,-0.65210832348
491,"230",,1,0.039303520767,,1.832306532843,,,1.057089844727
491,,,1,0.04925382207,,2.152630258628,,,0.915490900067
521,,,1,1.966990266175,,2.924323616042,,,-0.65210832348
531,"210",,1,0.108326702862,,2.500877955541,,,0.379909614264
531,,,1,0.006237593095,,2.742701938073,,,0.919022184538
540,"230",,1,1.47947342803,,2.802762415846,,,-0.550722765409
540,,,1,0.883064342117,,3.290460186494,,,-0.617185602337
541,"210",,1,2.151051371115,,2.275862814178,,,-0.230791334017
541,,,1,5.714918919031,,2.356392171788,,,-0.519470023909
543,,,1,1.966990266175,,2.849461249791,,,-0.65210832348
544,"230",,1,0.042383408676,,2.36044287116,,,0.507494199412
544,,,1,0.04622865178,,2.284297987373,,,0.541565848248
591,,,1,1.966990266175,,3.027340371686,,,-0.65210832348
602,,,1,1.966990266175,,3.153596215458,,,-0.65210832348
611,"230",,1,0.103333948129,,3.16756239899,,,-0.162651126866
611,,,1,0.104035410068,,3.167263368519,,,-0.163911362496
621,"230",,1,0.000635682811,,3.318521789478,,,0.844234440505
621,"M220",,1,23.480072236314,,3.736573074133,,,-1.748229761155
621,,,1,3.274074230402,,4.467917367347,,,-1.77155986784
653,,,1,1.966990266175,,2.804869307363,,,-0.65210832348
691,"230",,1,89.160828070891,,4.00753879117,,,-2.429335986699
691,,,1,89.160828070891,,4.00753879117,,,-2.429335986699
693,,,1,1.966990266175,,2.977888434227,,,-0.65210832348
694,"230",,1,1.21753392339,,3.454135011251,,,-0.961298038794
694,,,1,1.21753392339,,3.454135011251,,,-0.961298038794
711,,,1,1.966990266175,,2.868612326059,,,-0.65210832348
731,,,1,1.966990266175,,2.905631736817,,,-0.65210832348
740,"230",,1,0.033110007205,,3.661532544269,,,-0.226955512698
740,,,1,0.280072764025,,3.597254938065,,,-0.652023745777
741,"210",,1,0.369538503393,,2.958864540292,,,-0.310082631704
741,,,1,0.369538503393,,2.958864540292,,,-0.310082631704
742,,,1,1.010223096949,,3.008141414139,,,-0.589318704266
743,"210",,1,14.51555218976,,4.36087777142,,,-2.000439579129
743,,,1,14.51555218976,,4.36087777142,,,-2.000439579129
746,"210",,1,0.86289748688,,3.171609189499,,,-0.615515966264
746,"M330",,1,1.912605523859,,2.603843412778,,,-0.540177990623
746,,,1,0.120809398545,,2.851123305201,,,0.005918399252
762,"210",,1,0.00478263908,,2.669533388866,,,1.005314035374
762,,,1,0.198470356066,,2.710227003122,,,0.06487929648
802,"210",,1,0.020150829928,,2.417295711015,,,0.851545753176
802,"220",,1,0.004294936695,,3.409007669453,,,0.578652976381
802,"230",,1,0.036614883624,,3.162708086156,,,0.278384905373
802,"M220",,1,0.003795934624,,2.337549205679,,,1.30586951288
802,,,1,0.004880536531,,2.511268247845,,,1.145892661822
806,"M220",,1,0.00237690701,,2.460564251017,,,1.310671275923
806,,,1,0.058400550439,,2.504821007024,,,0.579911434386
812,,,1,4.171865572133,,3.57738868101,,,-1.09886671326
813,,,1,0.758420483721,,2.82379915894,,,-0.257945085481
819,,,1,0.758420483721,,3.086134542073,,,-0.257945085481
820,,,1,0.758420483721,,2.798398658179,,,-0.257945085481
822,"230",,1,2.54825916223,,2.96468672994,,,-0.661938179236
822,,,1,2.54825916223,,2.96468672994,,,-0.661938179236
823,,,1,0.758420483721,,2.71437663208,,,-0.257945085481
824,,,1,0.758420483721,,2.953772594546,,,-0.257945085481
827,"230",,1,2.132780008744,,2.726513600851,,,-0.413598786496
827,,,1,2.132780008744,,2.726513600851,,,-0.413598786496
828,"230",,1,0.004867673979,,3.128305695398,,,0.638410104323
828,,,1,0.004867673979,,3.128305695398,,,0.638410104323
831,"230",,1,0.000631864068,,2.543286624267,,,1.443703136077
831,,,1,0.000631864068,,2.543286624267,,,1.443703136077
832,"M220",,1,3.280061411651,,3.312682089171,,,-0.901822132789
832,,,1,2.972562893628,,3.340347865204,,,-0.898908124991
833,"210",,1,0.523539459087,,2.743873795061,,,-0.106595112248
833,"M220",,1,0.588884856523,,2.882222544443,,,-0.201587077761
833,,,1,0.390519222338,,2.968861695688,,,-0.165695922904
835,,,1,0.758420483721,,2.798931927846,,,-0.257945085481
837,,,1,0.979216984835,,3.534470622076,,,-0.77352875543
840,,,1,0.758420483721,,2.898556249415,,,-0.257945085481
842,,,1,0.758420483721,,3.119369413296,,,-0.257945085481
901,,,1,1.966990266175,,2.932794213765,,,-0.65210832348
920,,,1,1.010223096949,,3.008140625663,,,-0.589318704266
922,,,1,1.010223096949,,3.008140293604,,,-0.589318704266
950,"210",,1,0.044311803358,,2.076150262295,,,0.661917260797
950,,,1,0.00790933731,,2.03970382893,,,1.086819465139
951,,,1,1.966990266175,,2.871770768275,,,-0.65210832348
970,"230",,1,0.074202394073,,3.900574979506,,,-0.23052185893
970,,,1,0.127117059381,,3.827908316913,,,-0.317081917751
972,"210",,1,6.231186736845,,2.420015222323,,,-0.675231849774
972,,,1,2.118050712869,,2.365726311928,,,-0.361419564535
999,,,1,1.966990266175,,3.000632577982,,,-0.65210832348
