"SPCD","DIVISION","STDORGCD","equation","a","a0","b","b0","b1","b2","c"
132,"M220",,2,,0.073196157354,,1.642379925757,1.892943768381,,0.605900181529
132,,,2,,0.173040878903,,1.675442681998,2.012437755231,,0.338522647205
202,"240",,1,0.009106538193,,1.437894424586,,,,1.336514272981
202,"330",,1,0.045085287446,,1.800164804996,,,,0.778003762603
202,"M240",,1,0.029824870553,,1.861320044998,,,,0.807261719172
202,"M330",,1,7.4668172e-05,,1.537559786062,,,,2.389550264714
202,,,1,0.024642528831,,1.646231709467,,,,0.998562496804
211,,,1,0.059594973084,,2.002454779133,,,,0.602911936094
221,,,1,0.059594973084,,1.573192088839,,,,0.602911936094
222,"230",,1,4.328839658345,,1.558860693524,,,,-0.213551356007
222,,,1,4.328839658345,,1.558860693524,,,,-0.213551356007
241,"130",,1,0.008799668568,,1.422499196692,,,,1.249006439664
241,"210",,1,0.012562920134,,1.831305496208,,,,0.890539810132
241,,,1,0.013991445759,,1.74541505384,,,,0.921218342524
242,,,1,0.000174096743,,1.633025554065,,,,2.021774074206
261,"130",,1,0.027333424387,,1.746397896329,,,,0.935785496922
261,"210",,1,0.09978556423,,2.232315554688,,,,0.306304728433
261,"M220",,1,0.098129474892,,2.096557538611,,,,0.352169569785
261,,,1,0.128155231765,,2.26015257744,,,,0.223983907744
263,"M240",,1,0.002691895884,,2.135699851914,,,,1.081782803842
263,,,1,0.043792138181,,2.123475696372,,,,0.507812650241
264,,,1,0.04805504469,,2.24906737306,,,,0.543316116812
313,"230",,1,0.009581206719,,1.525499910225,,,,1.054697565797
313,,,1,0.009581206719,,1.525499910225,,,,1.054697565797
315,,,1,0.039964609859,,1.716125923649,,,,0.730511169834
316,"210",,1,0.130552822275,,1.753461555606,,,,0.478632371517
316,"230",,1,0.33578072745,,1.941398342891,,,,0.180068984974
316,"M220",,1,0.02544808104,,1.796895609168,,,,0.897411906351
316,,,1,0.061595466174,,1.818642599217,,,,0.654020672095
317,,,1,0.02009259218,,1.64107376949,,,,0.934597896601
318,"210",,1,0.004702082692,,1.369695350864,,,,1.552226865148
318,,,1,0.00839440151,,1.467358710436,,,,1.361847510323
351,,,1,0.059876964835,,1.90759692242,,,,0.591508757688
370,,,1,0.039964609859,,1.937895905202,,,,0.730511169834
371,"130",,1,0.006424937099,,2.230209409169,,,,1.045990095175
371,"210",,1,0.049357418826,,1.87707702691,,,,0.708571957433
371,,,1,0.053425940398,,1.917273516261,,,,0.661735026164
375,"130",,1,0.030933231044,,1.82856949128,,,,0.868394248324
375,"210",,1,0.089977546459,,1.98520574724,,,,0.519427945986
375,,,1,0.034921648741,,1.881891476958,,,,0.808611605936
379,,,1,0.039964609859,,1.913051468567,,,,0.730511169834
391,,,1,0.042470212615,,1.882553251934,,,,0.620904690406
400,"230",,1,1.281742461858,,2.370036024545,,,,-0.252998673742
400,"M220",,1,0.110996489774,,2.079913830435,,,,0.465604628017
400,,,1,0.144473760971,,2.19874809329,,,,0.333891533646
402,,,1,0.06932407461,,1.795489654052,,,,0.668415758117
403,,,1,0.06932407461,,2.043995921869,,,,0.668415758117
460,,,1,0.043189363464,,1.646982196346,,,,0.721413051624
461,"230",,1,0.344501515352,,2.598447740017,,,,-0.240966268814
461,,,1,0.344501515352,,2.598447740017,,,,-0.240966268814
462,,,1,0.043189363464,,1.792799081893,,,,0.721413051624
471,,,1,0.043189363464,,1.728397876792,,,,0.721413051624
491,"230",,1,0.053441117462,,1.965607463376,,,,0.581318881857
491,,,1,0.123716592719,,1.853188267968,,,,0.313039400473
521,,,1,0.043189363464,,1.717121184404,,,,0.721413051624
531,"210",,1,0.008707451027,,1.33594582377,,,,1.302453936163
531,,,1,0.004564655434,,1.663986792777,,,,1.2614583723
540,"230",,1,0.101071189744,,1.728040551568,,,,0.543560666603
540,,,1,0.060291997681,,1.794718443322,,,,0.659079038154
541,"210",,1,0.068234627135,,1.404590738453,,,,0.864834655392
541,,,1,0.023697422716,,1.414387662197,,,,1.114578400877
543,,,1,0.070159882807,,1.499808864183,,,,0.767507467672
544,"230",,1,0.331570259176,,1.867023994621,,,,0.265790136821
544,,,1,0.143152599915,,1.785413805498,,,,0.505353670575
591,,,1,0.043189363464,,1.65728607995,,,,0.721413051624
602,,,1,0.043189363464,,1.88141354908,,,,0.721413051624
611,"230",,1,0.141691890586,,2.104690775593,,,,0.29774042283
611,,,1,0.139825921383,,2.102503676469,,,,0.301999389494
621,"230",,1,0.107312154815,,2.037579706348,,,,0.420410280967
621,"M220",,1,0.024129227416,,1.47276688927,,,,1.098678760183
621,,,1,0.048493635376,,1.736187448475,,,,0.778049431599
653,,,1,0.043189363464,,1.822420581691,,,,0.721413051624
691,"230",,1,0.026251715371,,1.672010994736,,,,0.82626035748
691,,,1,0.026251715371,,1.672010994736,,,,0.82626035748
693,,,1,0.043189363464,,1.983871056093,,,,0.721413051624
694,"230",,1,2.089884143941,,2.520751262833,,,,-0.575919933723
694,,,1,2.089884143941,,2.520751262833,,,,-0.575919933723
701,,,1,0.043189363464,,1.847478014272,,,,0.721413051624
711,,,1,0.043189363464,,1.668878740081,,,,0.721413051624
731,,,1,0.043189363464,,1.454348741467,,,,0.721413051624
740,"230",,1,0.035002562313,,1.783242305705,,,,0.829947671376
740,,,1,0.116997623386,,1.952229546145,,,,0.466401184558
741,"130",,1,0.123534681805,,1.934646048618,,,,0.453581245022
741,"210",,1,0.006060869921,,1.691200924747,,,,1.260603079396
741,,,1,0.053575624326,,1.855834896693,,,,0.675319365074
742,,,1,0.059876964835,,1.887803513248,,,,0.591508757688
743,"130",,1,0.068761676888,,2.035541305359,,,,0.588834346813
743,"210",,1,0.098556032696,,1.897673769931,,,,0.603632394033
743,,,1,0.071561257915,,2.016466413257,,,,0.602902900508
746,"130",,1,0.019832169501,,2.083578450135,,,,0.864866324446
746,"210",,1,0.046238315589,,2.118384377346,,,,0.632713914453
746,"M130",,1,0.145423698006,,2.172262299592,,,,0.268241691024
746,"M330",,1,0.060233309275,,1.855788620635,,,,0.724388351968
746,,,1,0.026472211601,,2.074312151842,,,,0.790524962264
747,,,1,0.059876964835,,1.881814192062,,,,0.591508757688
762,"210",,1,0.08244913447,,1.559858650512,,,,0.718131806399
762,,,1,0.051569203099,,1.685381601141,,,,0.759448784021
802,"210",,2,,0.158403991244,,1.881381150445,1.670270643418,,0.375830383385
802,"220",,2,,0.031279848372,,1.619489579378,1.782880288151,,0.98241479518
802,"230",,2,,0.005981948324,,1.192756981566,1.845274906839,,1.589009142618
802,"M220",,2,,0.013653815808,,2.255437355705,1.777569692133,,0.830992810735
802,,,2,,0.013365029411,,1.503537350391,1.7232595306,,1.241874401475
806,"220",,1,0.090424374923,,1.862634912918,,,,0.653223886181
806,,,1,0.077312429536,,1.850129171843,,,,0.683026260155
812,,,1,0.109274399566,,1.879109107986,,,,0.639890405884
813,,,1,0.06932407461,,1.769307108414,,,,0.668415758117
819,,,1,0.06932407461,,2.243859939628,,,,0.668415758117
820,,,1,0.06932407461,,1.942060250844,,,,0.668415758117
822,"230",,1,0.07432475095,,1.86113732282,,,,0.566854754505
822,,,1,0.07432475095,,1.86113732282,,,,0.566854754505
823,,,1,0.06932407461,,1.754330620531,,,,0.668415758117
824,,,1,0.06932407461,,2.16698578604,,,,0.668415758117
827,"230",,1,0.117906384058,,2.108262928404,,,,0.433220334377
827,,,1,0.117906384058,,2.108262928404,,,,0.433220334377
828,"230",,1,0.050861994595,,1.654023301373,,,,0.858803876721
828,,,1,0.050861994595,,1.654023301373,,,,0.858803876721
831,"230",,1,0.173096335917,,1.910303875184,,,,0.451401950786
831,,,1,0.173096335917,,1.910303875184,,,,0.451401950786
832,"M220",,1,0.024070617317,,1.713500826186,,,,1.084618943553
832,,,1,0.025304080922,,1.721850939598,,,,1.067920803109
833,"210",,1,0.045294503733,,1.934420196483,,,,0.744389199352
833,,,1,0.05032905727,,1.696890770249,,,,0.874728262034
835,,,1,0.06932407461,,1.879969186566,,,,0.668415758117
837,,,1,0.097971894509,,2.132010173414,,,,0.476609435251
840,,,1,0.06932407461,,2.057758736376,,,,0.668415758117
842,,,1,0.06932407461,,2.209397374716,,,,0.668415758117
901,,,1,0.043189363464,,1.910547865595,,,,0.721413051624
920,,,1,0.059876964835,,1.922062790321,,,,0.591508757688
922,,,1,0.059876964835,,1.813473252113,,,,0.591508757688
950,"210",,1,0.008061590893,,1.547319458743,,,,1.303065667373
950,,,1,0.011664832643,,1.531653001586,,,,1.225866432631
951,,,1,0.043189363464,,1.967344086252,,,,0.721413051624
970,"230",,1,0.074372612289,,1.56636281357,,,,0.650273028998
970,,,1,0.067321191874,,1.530699224067,,,,0.691167405407
972,"210",,1,0.040951245238,,2.526041760355,,,,0.32057620287
972,,,1,0.06508021323,,2.46777236853,,,,0.238290110873
999,,,1,0.043189363464,,1.662442226035,,,,0.721413051624
