"VOLUME_REG","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Western WA Silver Fir Zone","WSTPOB",2,2932628612.48522,3315452196.34022,382823583.854991,13.0539401486154,"Stump wood and bark weight"
"Western WA Silver Fir Zone","VSAWIB",1,18748153707.3026,17507139342.1627,-1241014365.13989,-6.61939508558918,"Sawlog wood volume"
"Western WY and Western CO","BIOMASS",1,1428989129157.14,1631781327572.63,202792198415.488,14.1913044877466,"Total aboveground biomass"
"Western WY and Western CO","CARBON",1,714494567438.879,802157597346.691,87663029907.8112,12.2692367308041,"Total aboveground carbon"
"Western WY and Western CO","VMERIB",1,41214781974.8891,37588673134.9753,-3626108839.91379,-8.79807842274421,"Merchantable wood volume"
"Western WY and Western CO","WMERBCH",1,204242965226.561,458016887238.075,253773922011.514,124.250997692875,"Top and limb weight"
"Western WY and Western CO","WMEROB",1,1075877084229.37,1007458455542.58,-68418628686.7881,-6.35933506621669,"Merch bole wood and bark weight"
"Western WY and Western CO","WSTPOB",1,55656558678.2089,55092165528.8938,-564393149.315155,-1.01406404333822,"Stump wood and bark weight"
"Western WY and Western CO","VSAWIB",1,27934060837.5829,25126691195.4748,-2807369642.10814,-10.0499875704826,"Sawlog wood volume"
"Western WY and Western CO","BIOMASS",2,468697000488.222,648537736482.434,179840735994.212,38.3703620477366,"Total aboveground biomass"
"Western WY and Western CO","CARBON",2,234348500668.259,318687919834.92,84339419166.6609,35.9888878854194,"Total aboveground carbon"
"Western WY and Western CO","VMERIB",2,16694297571.6004,15380481640.2452,-1313815931.35522,-7.86984852594352,"Merchantable wood volume"
"Western WY and Western CO","WMERBCH",2,45059113162.8864,182174763660.916,137115650498.029,304.301706965167,"Top and limb weight"
"Western WY and Western CO","WMEROB",2,396049653658.94,436589596807.009,40539943148.069,10.2360758994578,"Merch bole wood and bark weight"
"Western WY and Western CO","WSTPOB",2,22444737435.5487,24001190131.2594,1556452695.71074,6.93459970373984,"Stump wood and bark weight"
