"SPCD","COMMON_NAME","HWSW","DIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"108","lodgepole pine","Softwood","","VMERIB",2,9397853.33899757,10076622.889458,678769.550460413,7.22260207704853,"Merchantable wood volume"
"108","lodgepole pine","Softwood","","WMERBCH",2,21356071.7039583,115374846.94371,94018775.2397513,440.243770216997,"Top and limb weight"
"108","lodgepole pine","Softwood","","WMEROB",2,231412897.580929,274360865.829594,42947968.2486655,18.5590209956409,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","","WSTPOB",2,14284422.5456035,17904598.0997736,3620175.5541701,25.343520486128,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","M260","BIOMASS",1,120158809778.024,151834439624.55,31675629846.5259,26.3614710440642,"Total aboveground biomass"
"108","lodgepole pine","Softwood","M260","CARBON",1,60079404985.5665,76403090019.0734,16323685033.5069,27.1701842543688,"Total aboveground carbon"
"108","lodgepole pine","Softwood","M260","VMERIB",1,3745398013.44912,3658653279.6091,-86744733.840014,-2.31603513240856,"Merchantable wood volume"
"108","lodgepole pine","Softwood","M260","WMERBCH",1,16042670458.5612,49267994543.0083,33225324084.4471,207.10594392791,"Top and limb weight"
"108","lodgepole pine","Softwood","M260","WMEROB",1,96718043557.3227,95498818151.5459,-1219225405.77686,-1.26059767229912,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","M260","WSTPOB",1,3995415920.2799,3716285199.10594,-279130721.173963,-6.98627443909289,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","M260","VSAWIB",1,3446685122.56181,3281441708.35912,-165243414.202693,-4.79427067825309,"Sawlog wood volume"
"108","lodgepole pine","Softwood","M260","BIOMASS",2,19050188727.958,23990723560.6376,4940534832.67961,25.9343091201448,"Total aboveground biomass"
"108","lodgepole pine","Softwood","M260","CARBON",2,9525094370.64878,12072132095.7128,2547037725.06405,26.7402886097659,"Total aboveground carbon"
"108","lodgepole pine","Softwood","M260","VMERIB",2,653554234.268258,622948075.667963,-30606158.6002945,-4.68303271488436,"Merchantable wood volume"
"108","lodgepole pine","Softwood","M260","WMERBCH",2,1803900578.51531,6411202601.94165,4607302023.42634,255.407757960716,"Top and limb weight"
"108","lodgepole pine","Softwood","M260","WMEROB",2,16510836795.4821,16883140500.0107,372303704.528608,2.25490512165006,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","M260","WSTPOB",2,679149069.254622,661647279.944449,-17501789.3101732,-2.57701734456938,"Stump wood and bark weight"
