"DIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"M260","CARBON",2,174225963515.493,241567183448.479,67341219932.9867,38.651655915221,"Total aboveground carbon"
"M260","VMERIB",2,12048760952.8367,11492996295.5113,-555764657.325377,-4.61262912842943,"Merchantable wood volume"
"M260","WMERBCH",2,33429205232.3646,64520534979.6165,31091329747.2518,93.0064879830007,"Top and limb weight"
"M260","WMEROB",2,293861899848.531,390404806002.814,96542906154.283,32.8531552419845,"Merch bole wood and bark weight"
"M260","WSTPOB",2,15622279208.3216,19448147010.4164,3825867802.09482,24.4898183618231,"Stump wood and bark weight"
"M260","VSAWIB",1,84660857576.2742,84476659741.0653,-184197835.208908,-0.217571426137465,"Sawlog wood volume"
"M310","BIOMASS",1,281553592838.13,350159232977.769,68605640139.6388,24.3668139511476,"Total aboveground biomass"
"M310","CARBON",1,140776796656.86,178547012243.66,37770215586.7997,26.8298586725649,"Total aboveground carbon"
"M310","VMERIB",1,7680795368.16675,7844333583.8239,163538215.657143,2.1291833438882,"Merchantable wood volume"
"M310","VSAWIB",1,6731676237.11904,6598266032.23551,-133410204.88353,-1.98182741094847,"Sawlog wood volume"
"M310","WMERBCH",1,39215804930.4086,84718790701.8277,45502985771.4191,116.032262635352,"Top and limb weight"
"M310","WMEROB",1,226409785397.101,245857888333.768,19448102936.6675,8.58978020872971,"Merch bole wood and bark weight"
"M310","WSTPOB",1,10485631954.3213,11105873404.6427,620241450.321358,5.91515564367814,"Stump wood and bark weight"
"M310","BIOMASS",2,37643950927.3165,58157749314.1115,20513798386.795,54.4942756577368,"Total aboveground biomass"
"M310","CARBON",2,18821975491.1322,29460216073.565,10638240582.4328,56.5203189614443,"Total aboveground carbon"
"M310","VMERIB",2,1208406795.87635,1357442913.36406,149036117.487702,12.3332736952723,"Merchantable wood volume"
"M310","WMERBCH",2,3676582300.83846,11242031167.4721,7565448866.63365,205.773956560372,"Top and limb weight"
"M310","WMEROB",2,32059299716.5486,44305423742.8006,12246124026.2521,38.1983516000843,"Merch bole wood and bark weight"
"M310","WSTPOB",2,1758665409.67709,2352649224.12446,593983814.447373,33.7746913755719,"Stump wood and bark weight"
"M330","BIOMASS",1,5639069041875.95,6408144327150.21,769075285274.257,13.6383378100724,"Total aboveground biomass"
"M330","CARBON",1,2819534529903.93,3187882494810.25,368347964906.321,13.0641409424013,"Total aboveground carbon"
"M330","VMERIB",1,157105846874.193,152714779706.403,-4391067167.79016,-2.79497374232445,"Merchantable wood volume"
"M330","WMERBCH",1,764876535706.643,1518309675930.09,753433140223.445,98.5038898503239,"Top and limb weight"
"M330","WMEROB",1,4359168766253.04,4328101228652.2,-31067537600.8325,-0.712694076938364,"Merch bole wood and bark weight"
"M330","WSTPOB",1,223150212993.242,205336859306.404,-17813353686.838,-7.98267384462569,"Stump wood and bark weight"
"M330","VSAWIB",1,117152090711.958,114762355137.284,-2389735574.67349,-2.03985738551534,"Sawlog wood volume"
"M330","BIOMASS",2,1305983560235.4,1819393656142.81,513410095907.406,39.3121407910269,"Total aboveground biomass"
"M330","CARBON",2,652991781302.627,900700740679.521,247708959376.894,37.9344681617201,"Total aboveground carbon"
"M330","VMERIB",2,44330137312.8854,43697932830.2838,-632204482.601593,-1.42612795926944,"Merchantable wood volume"
"M330","WMERBCH",2,125209361521.285,443668883731.365,318459522210.08,254.341622975166,"Top and limb weight"
"M330","WMEROB",2,1102883242203.25,1290288430559.84,187405188356.586,16.9922962998515,"Merch bole wood and bark weight"
"M330","WSTPOB",2,64379586542.313,69451681590.2708,5072095047.95778,7.87842128284589,"Stump wood and bark weight"
"M340","BIOMASS",1,137289740456.882,164642528643.551,27352788186.6691,19.9234029401197,"Total aboveground biomass"
"M340","CARBON",1,68644870536.6912,81317390371.2227,12672519834.5315,18.4609858470895,"Total aboveground carbon"
"M340","VMERIB",1,3728679666.48579,3655157960.98851,-73521705.4972825,-1.9717892678771,"Merchantable wood volume"
"M340","WMERBCH",1,20650638400.4918,47746382843.7862,27095744443.2944,131.210202405409,"Top and limb weight"
"M340","WMEROB",1,102389731273.326,102315473881.013,-74257392.3128967,-0.0725242574518232,"Merch bole wood and bark weight"
"M340","WSTPOB",1,5059570080.07823,5680825252.41003,621255172.331805,12.2788134663449,"Stump wood and bark weight"
"M340","VSAWIB",1,2679492722.1188,2454397535.69612,-225095186.422678,-8.40066422142338,"Sawlog wood volume"
"M340","BIOMASS",2,38570834118.7898,60450002792.5744,21879168673.7846,56.724644860937,"Total aboveground biomass"
"M340","CARBON",2,19285417104.1417,29758060858.5065,10472643754.3649,54.3034340289991,"Total aboveground carbon"
"M340","VMERIB",2,1431117575.64061,1444526833.62818,13409257.9875674,0.93697808033453,"Merchantable wood volume"
"M340","WMERBCH",2,3852306291.18918,16765015093.1396,12912708801.9504,335.194240174614,"Top and limb weight"
"M340","WMEROB",2,32046545943.9609,40762667701.2676,8716121757.30676,27.1983188845015,"Merch bole wood and bark weight"
"M340","WSTPOB",2,1885242683.45933,2176333885.92245,291091202.463113,15.4405162272782,"Stump wood and bark weight"
