"DCLASS","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
48,"BIOMASS",2,17234553671.7283,26085035354.8147,8850481683.08646,51.3531237980643,"Total aboveground biomass"
48,"CARBON",2,8617276836.57861,13231596645.0963,4614319808.51771,53.5473084598008,"Total aboveground carbon"
48,"VMERIB",2,657187452.65921,639341959.081927,-17845493.5772824,-2.71543431102851,"Merchantable wood volume"
48,"WMERBCH",2,1043560360.06992,1800046902.65688,756486542.586962,72.4909235280151,"Top and limb weight"
48,"WMEROB",2,15507260395.7805,23307951338.8049,7800690943.02432,50.3034755587573,"Merch bole wood and bark weight"
48,"WSTPOB",2,683732915.877836,977037113.353015,293304197.475179,42.8974809701255,"Stump wood and bark weight"
50,"BIOMASS",1,126996231235.946,142944177308.067,15947946072.1209,12.5578105089522,"Total aboveground biomass"
50,"CARBON",1,63498115619.5,72400662982.9138,8902547363.41377,14.0201756801108,"Total aboveground carbon"
50,"VMERIB",1,3482738605.91816,3516499551.50679,33760945.5886292,0.969379256061878,"Merchantable wood volume"
50,"VSAWIB",1,3451266047.86533,3410935751.88134,-40330295.9839892,-1.16856525763739,"Sawlog wood volume"
50,"WMERBCH",1,16432364071.2396,24415554093.2448,7983190022.00527,48.5821150711825,"Top and limb weight"
50,"WMEROB",1,107452702846.232,116065468747.934,8612765901.70195,8.01540182197843,"Merch bole wood and bark weight"
50,"WSTPOB",1,3111164318.47492,2463154466.88864,-648009851.586281,-20.828531869507,"Stump wood and bark weight"
50,"BIOMASS",2,15513947919.8346,23445206744.4751,7931258824.64049,51.1234075660416,"Total aboveground biomass"
50,"CARBON",2,7756973960.46668,11878289722.4516,4121315761.98493,53.1304576112949,"Total aboveground carbon"
50,"VMERIB",2,603854110.262058,581538138.217643,-22315972.0444146,-3.69558998857026,"Merchantable wood volume"
50,"WMERBCH",2,1060507505.1439,2333131096.37658,1272623591.23268,120.001375290597,"Top and limb weight"
50,"WMEROB",2,13874628525.2795,20288988058.1625,6414359532.88302,46.2308559915394,"Merch bole wood and bark weight"
50,"WSTPOB",2,578811889.411198,823087589.935987,244275700.524789,42.2029514240423,"Stump wood and bark weight"
52,"BIOMASS",1,122236391381.701,136163644349.288,13927252967.5868,11.393704289009,"Total aboveground biomass"
52,"CARBON",1,61118195692.1893,69115028136.9,7996832444.71069,13.0842089727015,"Total aboveground carbon"
52,"VMERIB",1,3392963878.33653,3462044949.22199,69081070.8854604,2.0360096176246,"Merchantable wood volume"
52,"VSAWIB",1,3347667699.33326,3277141224.29301,-70526475.0402451,-2.10673463959077,"Sawlog wood volume"
52,"WMERBCH",1,15813243453.2102,22271833239.2294,6458589786.01918,40.8429162880436,"Top and limb weight"
52,"WMEROB",1,103465602111.044,111565523539.395,8099921428.35149,7.82861285595024,"Merch bole wood and bark weight"
52,"WSTPOB",1,2957545817.44716,2326287570.66325,-631258246.783905,-21.3439887578406,"Stump wood and bark weight"
52,"BIOMASS",2,14093814108.5703,21451309006.4671,7357494897.8968,52.2037174693738,"Total aboveground biomass"
52,"CARBON",2,7046907054.74248,10876618719.3721,3829711664.62962,54.3459937087189,"Total aboveground carbon"
52,"VMERIB",2,539630734.993046,523709192.966105,-15921542.0269412,-2.95045129835802,"Merchantable wood volume"
52,"WMERBCH",2,889625135.834759,1796103130.61478,906477994.78002,101.894377560437,"Top and limb weight"
52,"WMEROB",2,12667222341.1063,18884009198.1163,6216786857.01,49.0777432463308,"Merch bole wood and bark weight"
52,"WSTPOB",2,536966631.629269,771196677.73604,234230046.106771,43.6209686616965,"Stump wood and bark weight"
54,"BIOMASS",1,101260428843.021,111129715939.235,9869287096.21358,9.74644015335292,"Total aboveground biomass"
54,"CARBON",1,50630214422.4557,56594318278.6678,5964103856.21207,11.7797325653174,"Total aboveground carbon"
54,"VMERIB",1,2826021135.32007,2909515657.425,83494522.1049328,2.95449036319668,"Merchantable wood volume"
54,"VSAWIB",1,2862412522.43118,2827794577.34659,-34617945.0845866,-1.20939748597746,"Sawlog wood volume"
54,"WMERBCH",1,13131176284.1901,15763718227.9761,2632541943.78599,20.0480283472818,"Top and limb weight"
54,"WMEROB",1,85717269576.009,93531568657.8038,7814299081.79485,9.11636490575052,"Merch bole wood and bark weight"
54,"WSTPOB",1,2411982982.82208,1834429053.4548,-577553929.367279,-23.9451908856972,"Stump wood and bark weight"
54,"BIOMASS",2,11265079259.9509,17921304310.1814,6656225050.23048,59.0872456077107,"Total aboveground biomass"
54,"CARBON",2,5632539630.34166,9041265831.76753,3408726201.42587,60.5184592588318,"Total aboveground carbon"
54,"VMERIB",2,436854476.448385,422468189.458174,-14386286.9902112,-3.29315315872949,"Merchantable wood volume"
54,"WMERBCH",2,687285940.748613,1318982812.5384,631696871.789791,91.9117989088686,"Top and limb weight"
54,"WMEROB",2,10151180882.2802,15896741953.4495,5745561071.16927,56.5999280063925,"Merch bole wood and bark weight"
54,"WSTPOB",2,426612436.92213,705579544.193553,278967107.271423,65.3912270547198,"Stump wood and bark weight"
56,"BIOMASS",1,80353914552.4283,89129365080.0648,8775450527.63647,10.9209994018534,"Total aboveground biomass"
56,"CARBON",1,40176957276.9351,45332805165.4428,5155847888.50769,12.8328480750024,"Total aboveground carbon"
56,"VMERIB",1,2237397041.8814,2315043046.6352,77646004.7537975,3.47037219145092,"Merchantable wood volume"
56,"VSAWIB",1,2284121741.10398,2234893361.96718,-49228379.1367989,-2.15524322766638,"Sawlog wood volume"
56,"WMERBCH",1,10379168479.2122,11971784459.0127,1592615979.80047,15.3443503975316,"Top and limb weight"
56,"WMEROB",1,68046985336.8441,75626446343.0527,7579461006.20857,11.1385698700522,"Merch bole wood and bark weight"
56,"WSTPOB",1,1927760736.37193,1531134277.99936,-396626458.372567,-20.5744650199186,"Stump wood and bark weight"
56,"BIOMASS",2,6509790357.24759,10808080113.5878,4298289756.34025,66.028082633334,"Total aboveground biomass"
56,"CARBON",2,3254895178.85428,5522169417.23332,2267274238.37904,69.6573657151418,"Total aboveground carbon"
56,"VMERIB",2,282848293.393243,271822588.595206,-11025704.7980374,-3.89809839959274,"Merchantable wood volume"
56,"WMERBCH",2,358074828.563777,506110184.345311,148035355.781534,41.3420168000353,"Top and limb weight"
56,"WMEROB",2,5901443137.61116,9805827933.06062,3904384795.44946,66.1598308143644,"Merch bole wood and bark weight"
56,"WSTPOB",2,250272391.072654,496141996.181909,245869605.109254,98.2408023735538,"Stump wood and bark weight"
58,"BIOMASS",2,7092240842.41932,10627051391.1516,3534810548.73229,49.8405317483055,"Total aboveground biomass"
58,"CARBON",2,3546120421.41153,5410792738.9736,1864672317.56206,52.5834460190112,"Total aboveground carbon"
58,"VMERIB",2,292112544.886279,277368626.306531,-14743918.579748,-5.04734179954095,"Merchantable wood volume"
58,"WMERBCH",2,366566251.401808,633428225.745511,266861974.343703,72.800475582021,"Top and limb weight"
58,"WMEROB",2,6445293394.77006,9547225799.08736,3101932404.31731,48.1270939013316,"Merch bole wood and bark weight"
58,"WSTPOB",2,280381196.247456,446397366.318738,166016170.071281,59.2108787226801,"Stump wood and bark weight"
58,"BIOMASS",1,62651691602.5334,68493770437.1799,5842078834.64648,9.32469448982962,"Total aboveground biomass"
58,"CARBON",1,31325845801.8263,34986718794.7424,3660872992.91616,11.6864298447856,"Total aboveground carbon"
58,"VMERIB",1,1740729153.26236,1779975045.327,39245892.0646341,2.25456625409427,"Merchantable wood volume"
58,"VSAWIB",1,1762324765.91065,1744792816.58792,-17531949.3227262,-0.994819437475644,"Sawlog wood volume"
58,"WMERBCH",1,8122235210.43928,9173012289.59145,1050777079.15217,12.9370432144298,"Top and limb weight"
58,"WMEROB",1,53073567446.3419,58251421223.5386,5177853777.19669,9.75599347534264,"Merch bole wood and bark weight"
58,"WSTPOB",1,1455888945.75225,1069336924.04987,-386552021.702372,-26.5509277222133,"Stump wood and bark weight"
60,"BIOMASS",1,317705005115.575,341432518954.716,23727513839.1415,7.46841046161988,"Total aboveground biomass"
60,"CARBON",1,158852502559.913,174875923185.637,16023420625.7239,10.0869802914691,"Total aboveground carbon"
60,"VMERIB",1,9239556454.17126,9478660853.15076,239104398.9795,2.58783416893951,"Merchantable wood volume"
60,"VSAWIB",1,9547822933.63568,9235224930.77594,-312598002.859745,-3.27402387992036,"Sawlog wood volume"
60,"WMERBCH",1,40525051426.5048,42743597032.2471,2218545605.7423,5.47450410955259,"Top and limb weight"
60,"WMEROB",1,269624789455.586,293070876674.071,23446087218.4855,8.69582031601277,"Merch bole wood and bark weight"
60,"WSTPOB",1,7555164233.48413,5618045248.3979,-1937118985.08623,-25.6396674542297,"Stump wood and bark weight"
60,"BIOMASS",2,43125515491.318,62974860717.1409,19849345225.8229,46.0269170111578,"Total aboveground biomass"
60,"CARBON",2,21562757746.8562,32066385407.4992,10503627660.643,48.7118938308086,"Total aboveground carbon"
60,"VMERIB",2,1829886249.5467,1584753891.39193,-245132358.154772,-13.3960435090157,"Merchantable wood volume"
60,"WMERBCH",2,2053446174.16599,4007811932.25208,1954365758.08608,95.1749202230658,"Top and limb weight"
60,"WMEROB",2,39409908366.9479,55353878902.0166,15943970535.0687,40.456756170589,"Merch bole wood and bark weight"
60,"WSTPOB",2,1662160950.20402,3613169882.87217,1951008932.66815,117.377858770456,"Stump wood and bark weight"
