"NF_REGION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
6,"CARBON",2,210763649669.347,288214206215.644,77450556546.2968,36.7475874838018,"Total aboveground carbon"
6,"VMERIB",2,15445503095.6359,15114019860.9771,-331483234.658779,-2.14614721583553,"Merchantable wood volume"
6,"WMERBCH",2,30694521259.2442,65965355842.8194,35270834583.5752,114.909218768,"Top and limb weight"
6,"WMEROB",2,367059176917.774,483843128169.894,116783951252.12,31.8161099343067,"Merch bole wood and bark weight"
6,"WSTPOB",2,21117370599.6552,22866352795.5903,1748982195.93504,8.28219681840311,"Stump wood and bark weight"
8,"BIOMASS",1,1693633916248.38,1953674030358.1,260040114109.715,15.3539741744035,"Total aboveground biomass"
8,"CARBON",1,846816959823.988,933574242856.776,86757283032.7885,10.2451045679129,"Total aboveground carbon"
8,"VMERIB",1,34466499281.0436,36188384179.7424,1721884898.69874,4.99582184038564,"Merchantable wood volume"
8,"WMERBCH",1,272418142369.748,446151720125.109,173733577755.36,63.7745989470683,"Top and limb weight"
8,"WMEROB",1,1267614952818.12,1341675677895.65,74060725077.521,5.84252535936653,"Merch bole wood and bark weight"
8,"WSTPOB",1,72654610699.3921,67595087613.3053,-5059523086.0868,-6.9638017978247,"Stump wood and bark weight"
8,"VSAWIB",1,22857962407.8775,23906437315.6841,1048474907.80655,4.58691325629803,"Sawlog wood volume"
8,"BIOMASS",2,42336296343.4201,87820761953.9323,45484465610.5122,107.436099845756,"Total aboveground biomass"
8,"CARBON",2,21168148251.5217,41966910118.552,20798761867.0303,98.2549896188254,"Total aboveground carbon"
8,"VMERIB",2,1120149347.03897,1178369081.27785,58219734.2388811,5.19749749377443,"Merchantable wood volume"
8,"WMERBCH",2,3433435073.01153,12896440688.5456,9463005615.53404,275.613355555137,"Top and limb weight"
8,"WMEROB",2,33499401908.8794,67181888638.8623,33682486729.9829,100.546531611524,"Merch bole wood and bark weight"
8,"WSTPOB",2,2787789310.92975,4718374179.93363,1930584869.00388,69.2514624916191,"Stump wood and bark weight"
9,"BIOMASS",1,1146583405299.73,1420756999076.11,274173593776.376,23.9122241355572,"Total aboveground biomass"
9,"CARBON",1,573291703770.382,691358282266.265,118066578495.883,20.5945032379487,"Total aboveground carbon"
9,"VMERIB",1,25463393153.89,28773227398.9193,3309834245.0293,12.9984021572697,"Merchantable wood volume"
9,"VSAWIB",1,14422953289.061,16674050781.1275,2251097492.0665,15.6077430672527,"Sawlog wood volume"
9,"WMERBCH",1,202475187085.337,361087326735.622,158612139650.284,78.3365813527727,"Top and limb weight"
9,"WMEROB",1,857720983185.428,962452707456.893,104731724271.465,12.2104654455939,"Merch bole wood and bark weight"
9,"WSTPOB",1,48141680162.5508,48970381284.9761,828701122.425255,1.72137972672981,"Stump wood and bark weight"
9,"BIOMASS",2,19387834504.3339,35579059761.3577,16191225257.0238,83.5122935127408,"Total aboveground biomass"
9,"CARBON",2,9693917341.52962,17344491054.5027,7650573712.97309,78.9213838269214,"Total aboveground carbon"
9,"VMERIB",2,548407650.907394,771463198.096648,223055547.189254,40.6733105966313,"Merchantable wood volume"
9,"WMERBCH",2,1482145000.95015,4001131087.95469,2518986087.00454,169.955441970233,"Top and limb weight"
9,"WMEROB",2,12754783474.8001,25390876870.186,12636093395.3858,99.0694465362835,"Merch bole wood and bark weight"
9,"WSTPOB",2,1063218586.17731,1867086048.79609,803867462.618785,75.6069798882099,"Stump wood and bark weight"
10,"BIOMASS",1,1138061491259.9,1238389176344.28,100327685084.387,8.81566469429689,"Total aboveground biomass"
10,"CARBON",1,569030746772.308,615499779439.619,46469032667.3113,8.16634829152834,"Total aboveground carbon"
10,"VMERIB",1,32211856207.6802,33485892629.324,1274036421.64381,3.95517853249339,"Merchantable wood volume"
10,"VSAWIB",1,32301762018.9473,29965670486.1928,-2336091532.75458,-7.23208700313094,"Sawlog wood volume"
10,"WMERBCH",1,145047797256.624,250876903780.761,105829106524.137,72.9615399376937,"Top and limb weight"
10,"WMEROB",1,918400875929.289,916583842426.374,-1817033502.91479,-0.197847535922287,"Merch bole wood and bark weight"
10,"WSTPOB",1,45657304707.5255,38098921413.9089,-7558383293.61666,-16.5545980912247,"Stump wood and bark weight"
10,"BIOMASS",2,138443942536.46,187163131556.587,48719189020.127,35.1905530336198,"Total aboveground biomass"
10,"CARBON",2,69221971382.6371,92779763468.1951,23557792085.5579,34.0322467202471,"Total aboveground carbon"
10,"VMERIB",2,4510690723.08106,4704358194.9955,193667471.914439,4.29352140955816,"Merchantable wood volume"
10,"WMERBCH",2,7304950427.88439,20281262751.1399,12976312323.2555,177.637239997172,"Top and limb weight"
10,"WMEROB",2,120872078855.813,155093884486.54,34221805630.7267,28.3124158653294,"Merch bole wood and bark weight"
10,"WSTPOB",2,8907545065.87207,10511771237.4393,1604226171.56722,18.0097452182821,"Stump wood and bark weight"
NA,"BIOMASS",1,43309222436641.5,48949894609294.1,5640672172652.63,13.0241825073275,"Total aboveground biomass"
NA,"CARBON",1,21654611274640.9,23626670807673.7,1972059533032.78,9.1068803222628,"Total aboveground carbon"
NA,"VMERIB",1,926118854120.136,946188374818.456,20069520698.3198,2.16705670217534,"Merchantable wood volume"
NA,"VSAWIB",1,566752807513.679,578182812586.054,11430005072.3754,2.01675314543537,"Sawlog wood volume"
NA,"WMERBCH",1,7026413186659.8,11679995711659.6,4653582524999.81,66.2298444650963,"Top and limb weight"
NA,"WMEROB",1,32030452941329.8,32611353668534.2,580900727204.348,1.81358886266262,"Merch bole wood and bark weight"
NA,"WSTPOB",1,1823397167722.38,1788095960282.4,-35301207439.9817,-1.93601306752476,"Stump wood and bark weight"
NA,"BIOMASS",2,1127357827711.35,1908420003884.22,781062176172.869,69.2825433925007,"Total aboveground biomass"
NA,"CARBON",2,563678916355.532,929376432309.289,365697515953.757,64.8769193494367,"Total aboveground carbon"
NA,"VMERIB",2,33675976873.673,35917221055.1639,2241244181.49096,6.65532046746091,"Merchantable wood volume"
NA,"WMERBCH",2,96328584036.5826,287742540333.969,191413956297.386,198.709405117688,"Top and limb weight"
NA,"WMEROB",2,874307318068.862,1416662226475.91,542354908407.044,62.0325253144372,"Merch bole wood and bark weight"
NA,"WSTPOB",2,65869181527.0139,106815152730.774,40945971203.7602,62.1625626044368,"Stump wood and bark weight"
