"VOLUME_REG","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Alaska","98","Sitka spruce","Hardwood","BIOMASS",2,37307788764.2079,46292656403.6191,8984867639.41116,24.0830881084836,"Total aboveground biomass"
"Alaska","98","Sitka spruce","Hardwood","CARBON",2,18653894409.5486,23123181873.6077,4469287464.05913,23.9590048379998,"Total aboveground carbon"
"Alaska","98","Sitka spruce","Hardwood","VMERIB",2,1156403324.76182,1291815424.07245,135412099.310628,11.7097639215554,"Merchantable wood volume"
"Alaska","98","Sitka spruce","Hardwood","WMERBCH",2,2144756735.99217,7101011812.28989,4956255076.29772,231.087050252576,"Top and limb weight"
"Alaska","98","Sitka spruce","Hardwood","WMEROB",2,33109422443.1735,36508951538.0551,3399529094.88168,10.267557825016,"Merch bole wood and bark weight"
"Alaska","98","Sitka spruce","Hardwood","WSTPOB",2,1770846402.45143,2215956580.93223,445110178.480801,25.1354481034958,"Stump wood and bark weight"
"Alaska","98","Sitka spruce","Hardwood","VMERIB",1,13399094671.5754,14836740854.042,1437646182.46663,10.7294277539245,"Merchantable wood volume"
"Alaska","98","Sitka spruce","Hardwood","WMERBCH",1,52346503533.4899,116340078008.82,63993574475.3305,122.249950150709,"Top and limb weight"
"Alaska","98","Sitka spruce","Hardwood","WMEROB",1,333708724838.84,346716092852.495,13007368013.6551,3.89782077766676,"Merch bole wood and bark weight"
"Alaska","98","Sitka spruce","Hardwood","WSTPOB",1,14698102748.9188,11313840242.8054,-3384262506.11339,-23.0251656552227,"Stump wood and bark weight"
"Alaska","98","Sitka spruce","Hardwood","VSAWIB",1,13740878072.2173,13874087067.5496,133208995.332294,0.969435829589592,"Sawlog wood volume"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","BIOMASS",1,2009320962.34309,2095164366.70567,85843404.362577,4.27225943347915,"Total aboveground biomass"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","CARBON",1,1004660482.50818,1004317039.18036,-343443.327817678,-0.0341850141214131,"Total aboveground carbon"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","VMERIB",1,59334006.1875147,58381116.6940121,-952889.49350252,-1.6059753162311,"Merchantable wood volume"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","WMERBCH",1,277891776.684827,386854312.736286,108962536.051459,39.2104211759527,"Top and limb weight"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","WMEROB",1,1612783729.2925,1573935134.62988,-38848594.662611,-2.40879133122538,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","WSTPOB",1,81680391.1000586,73373216.9296704,-8307174.17038827,-10.1703408351852,"Stump wood and bark weight"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","BIOMASS",2,525744607.277885,577514014.567613,51769407.2897281,9.8468736670018,"Total aboveground biomass"
