"STATECD","STATENM","RSCD","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
53,"Washington",26,"WMEROB",1,2883882281647.43,2802030421318.49,-81851860328.9385,-2.83825247825928,"Merch bole wood and bark weight"
53,"Washington",26,"WSTPOB",1,131978764337.563,97272284782.6084,-34706479554.9545,-26.2970181067808,"Stump wood and bark weight"
53,"Washington",26,"VSAWIB",1,86073930316.8477,81438913947.1621,-4635016369.68562,-5.3849247415839,"Sawlog wood volume"
54,"West Virginia",24,"BIOMASS",1,1630179809452.63,1815246568564.82,185066759112.189,11.3525365753566,"Total aboveground biomass"
54,"West Virginia",24,"CARBON",1,815089905546.816,866082151626.834,50992246080.0179,6.25602718583651,"Total aboveground carbon"
54,"West Virginia",24,"VMERIB",1,33117925884.347,32582560795.4251,-535365088.921921,-1.61654172061227,"Merchantable wood volume"
54,"West Virginia",24,"VSAWIB",1,20533919542.8531,20644777682.2101,110858139.357086,0.539878122760401,"Sawlog wood volume"
54,"West Virginia",24,"WMERBCH",1,293192023601.564,498669771738.868,205477748137.305,70.0829939413839,"Top and limb weight"
54,"West Virginia",24,"WMEROB",1,1240389728237.91,1222783968773.64,-17605759464.2793,-1.41937320694278,"Merch bole wood and bark weight"
54,"West Virginia",24,"WSTPOB",1,67537942415.0673,61644908931.9218,-5893033483.1455,-8.72551527692203,"Stump wood and bark weight"
54,"West Virginia",24,"BIOMASS",2,11952981268.0414,25288761977.3914,13335780709.35,111.568657310672,"Total aboveground biomass"
54,"West Virginia",24,"CARBON",2,5976490680.47992,11958189124.2595,5981698443.77961,100.0871374788,"Total aboveground carbon"
54,"West Virginia",24,"VMERIB",2,269584123.919321,497984204.467707,228400080.548386,84.7231199032847,"Merchantable wood volume"
54,"West Virginia",24,"WMERBCH",2,1040481687.15799,3087617396.12281,2047135708.96482,196.748845677087,"Top and limb weight"
54,"West Virginia",24,"WMEROB",2,7770482164.18205,18684972750.6859,10914490586.5039,140.460918072936,"Merch bole wood and bark weight"
54,"West Virginia",24,"WSTPOB",2,718910687.926387,1315415670.50359,596504982.577199,82.9734475498963,"Stump wood and bark weight"
55,"Wisconsin",23,"BIOMASS",1,1236862626626,1541898624136.8,305035997510.801,24.6620757183762,"Total aboveground biomass"
55,"Wisconsin",23,"CARBON",1,618431314656.309,750595762440.389,132164447784.08,21.3709177805023,"Total aboveground carbon"
55,"Wisconsin",23,"VMERIB",1,27355144370.6729,31082901286.2296,3727756915.55669,13.627260982593,"Merchantable wood volume"
55,"Wisconsin",23,"WMERBCH",1,227763211175.583,403824498142.939,176061286967.356,77.3001425729066,"Top and limb weight"
55,"Wisconsin",23,"WMEROB",1,912275226694.319,1024305421185.94,112030194491.623,12.2803065580955,"Merch bole wood and bark weight"
55,"Wisconsin",23,"WSTPOB",1,52472285983.329,55131153777.6545,2658867794.32552,5.0671849806015,"Stump wood and bark weight"
55,"Wisconsin",23,"VSAWIB",1,13153495585.6639,15575201606.5891,2421706020.92526,18.4111212502683,"Sawlog wood volume"
55,"Wisconsin",23,"BIOMASS",2,16310658222.1797,25506539730.6523,9195881508.47262,56.3795855642895,"Total aboveground biomass"
55,"Wisconsin",23,"CARBON",2,8155329200.14676,12380597845.5821,4225268645.43531,51.809909100411,"Total aboveground carbon"
55,"Wisconsin",23,"VMERIB",2,475836897.111996,517837319.031695,42000421.9196995,8.82664252701153,"Merchantable wood volume"
55,"Wisconsin",23,"WMERBCH",2,1204171471.44323,3072465287.0012,1868293815.55796,155.151808514344,"Top and limb weight"
55,"Wisconsin",23,"WMEROB",2,10347328686.5349,17053639065.3162,6706310378.78132,64.8119972018317,"Merch bole wood and bark weight"
55,"Wisconsin",23,"WSTPOB",2,908212709.490626,1343200678.57594,434987969.085313,47.8949440521788,"Stump wood and bark weight"
56,"Wyoming",22,"BIOMASS",1,497048007972.242,559383518183.491,62335510211.2491,12.5411447609564,"Total aboveground biomass"
56,"Wyoming",22,"CARBON",1,248524005202.688,276663272123.21,28139266920.5224,11.3225548966881,"Total aboveground carbon"
56,"Wyoming",22,"VMERIB",1,14235180499.0316,12830488419.0392,-1404692079.99239,-9.86775039549342,"Merchantable wood volume"
56,"Wyoming",22,"WMERBCH",1,67021718228.1958,156786176652.575,89764458424.3792,133.933388754297,"Top and limb weight"
56,"Wyoming",22,"WMEROB",1,372552440784.946,340237021184.477,-32315419600.4698,-8.6740592901185,"Merch bole wood and bark weight"
56,"Wyoming",22,"WSTPOB",1,19376203350.1369,18429173045.637,-947030304.499886,-4.88759478514245,"Stump wood and bark weight"
56,"Wyoming",22,"BIOMASS",2,237401884485.842,315284904774.301,77883020288.459,32.8064035621014,"Total aboveground biomass"
56,"Wyoming",22,"CARBON",2,118700942420.648,155357274775.781,36656332355.1331,30.8812479560875,"Total aboveground carbon"
56,"Wyoming",22,"VMERIB",2,8262535573.6297,7499112676.00709,-763422897.622609,-9.23957168861229,"Merchantable wood volume"
56,"Wyoming",22,"WMERBCH",2,21627586546.6921,90015725077.1446,68388138530.4525,316.207905966801,"Top and limb weight"
56,"Wyoming",22,"WMEROB",2,202549800366.028,211682200397.322,9132400031.29416,4.50871835706132,"Merch bole wood and bark weight"
56,"Wyoming",22,"WSTPOB",2,11253342774.977,11332560661.5565,79217886.579504,0.703949823297425,"Stump wood and bark weight"
56,"Wyoming",22,"VSAWIB",1,9809213677.00195,8691093574.67236,-1118120102.32959,-11.3986720969395,"Sawlog wood volume"
72,"Puerto Rico",99,"BIOMASS",1,82439638681.3696,82493860252.9068,54221571.5372162,0.0657712386959668,"Total aboveground biomass"
72,"Puerto Rico",99,"CARBON",1,41219819574.2887,39128746774.614,-2091072799.67469,-5.07297902142934,"Total aboveground carbon"
72,"Puerto Rico",99,"VMERIB",1,1407088632.73279,1240559144.69689,-166529488.035903,-11.8350389706778,"Merchantable wood volume"
72,"Puerto Rico",99,"WMERBCH",1,13132434460.0336,21191122742.7401,8058688282.7065,61.3647706160789,"Top and limb weight"
72,"Puerto Rico",99,"WMEROB",1,52690346461.0338,44638468794.7523,-8051877666.28144,-15.281504501467,"Merch bole wood and bark weight"
72,"Puerto Rico",99,"WSTPOB",1,3693132289.53016,3625027289.80028,-68104999.7298827,-1.84409856974138,"Stump wood and bark weight"
78,"Virgin Islands",99,"BIOMASS",1,1970800528.73213,1885302817.93885,-85497710.7932858,-4.33822244041555,"Total aboveground biomass"
78,"Virgin Islands",99,"CARBON",1,985400280.959593,888829275.94217,-96571005.0174233,-9.80018038186283,"Total aboveground carbon"
78,"Virgin Islands",99,"VMERIB",1,20144496.545549,14122388.0040007,-6022108.54154831,-29.894559677536,"Merchantable wood volume"
78,"Virgin Islands",99,"WMERBCH",1,213911204.261231,398526455.109097,184615250.847866,86.3046194730459,"Top and limb weight"
78,"Virgin Islands",99,"WMEROB",1,754647392.393972,506144283.656031,-248503108.737942,-32.9296981931673,"Merch bole wood and bark weight"
78,"Virgin Islands",99,"WSTPOB",1,60163358.5416707,63105668.2633967,2942309.72172593,4.89053436019203,"Stump wood and bark weight"
78,"Virgin Islands",99,"VSAWIB",1,0.0124790820855018,377135.782716608,377135.770237526,3022143517.07553,"Sawlog wood volume"
