"alpha","beta","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
2.431655450681,0.888874861644,"837 220",NA,NA
2.404156898672,0.832740045229,"837 230",NA,NA
2.26246668695,0.908913582407,"837 M210",NA,NA
2.454223205094,0.879063389189,"837 M220",NA,NA
2.61485067581,0.852650936999,"838 230",NA,NA
2.484302556441,0.922023406929,"901 M220",NA,NA
2.425115333367,0.921208491974,"91 210",NA,NA
2.316054364146,0.918526810669,"93 M330",NA,NA
2.238474748867,0.94573696295,"93 M340",NA,NA
2.233513167314,0.889823346604,"94 130",NA,NA
2.380687159278,0.915792217878,"94 210",NA,NA
2.277135883636,0.931583150475,"94 M130",NA,NA
2.202048385499,0.901607246417,"95 130",NA,NA
2.295419501732,0.907234341416,"95 210",NA,NA
2.287326781482,0.939555564623,"95 M130",NA,NA
1.884744112,0.827486236847,"950 210",NA,NA
2.354532009675,0.950834226533,"950 M220",NA,NA
2.302846226769,0.952512915091,"951 210",NA,NA
2.373852809743,0.93250435061,"951 220",NA,NA
2.200532244909,0.891695910925,"97 130",NA,NA
2.11969343597,0.929883580972,"97 210",NA,NA
2.192381616969,0.928607272531,"97 M210",NA,NA
2.470065214477,0.852413996698,"970 230",NA,NA
2.776398290661,0.889107149582,"972 210",NA,NA
2.238794894984,0.936633343235,"98 M240",NA,NA
2.476866562011,0.842332131774,"999 230",NA,NA
2.306852741587,0.869370347056,"999 M220",NA,NA
2.1271005837,0.85574289238,NA,"1_111",NA
2.252471647379,0.895208838092,NA,"1_131",NA
2.110191719824,0.945742440595,NA,"100",NA
2.204858649928,0.924734369895,NA,"105",NA
2.164143489136,0.917954645888,NA,"107",NA
2.069631914771,0.96037752551,NA,"108",NA
2.048385017296,0.897850093982,NA,"110",NA
2.031149553878,0.829797693464,NA,"111",NA
2.213952901306,0.953133232797,NA,"115",NA
2.34255722257,0.913010954048,NA,"117",NA
2.290293338415,0.923304144356,NA,"12",NA
2.117680702834,0.907590354365,NA,"121",NA
2.225646063067,0.933592758312,NA,"122",NA
1.966083128976,0.901106430655,NA,"123",NA
2.078680997376,0.924148129724,NA,"125",NA
2.12488111252,0.921727135205,NA,"126",NA
2.053605674203,0.882312922855,NA,"128",NA
2.168405377457,0.908425248262,NA,"129",NA
2.122822027836,0.871992951105,NA,"131",NA
2.083913927755,0.881605303758,NA,"132",NA
2.286492555572,0.923976554173,NA,"15",NA
2.344739100852,0.932565061683,NA,"17",NA
2.443217781319,0.974403517709,NA,"19",NA
2.260578864688,0.904996599285,NA,"20",NA
2.295591234774,0.913185703689,NA,"202",NA
2.358359447798,0.905462311373,NA,"211",NA
1.909978071084,0.645965350533,NA,"221",NA
1.992238843363,0.605750323394,NA,"222",NA
2.371876652167,0.819660561604,NA,"241",NA
2.386957496285,0.882454212712,NA,"242",NA
2.423444796372,0.912869245282,NA,"261",NA
2.320819492498,0.958415881477,NA,"263",NA
2.518143654078,0.939678042487,NA,"313",NA
2.500241064397,0.88374141693,NA,"316",NA
2.664858045113,0.895692903484,NA,"317",NA
2.363842996376,0.938627556159,NA,"318",NA
2.51257041628,0.926378801455,NA,"330",NA
2.344539648007,0.923693746676,NA,"351",NA
2.52329363783,0.873544856067,NA,"370",NA
2.326737852884,0.9192468438,NA,"371",NA
2.472498631511,0.905071442811,NA,"372",NA
2.374241254527,0.933325360582,NA,"375",NA
2.430905595241,0.864969743921,NA,"400",NA
2.39074912123,0.896947270178,NA,"403",NA
2.413489657723,0.885403439596,NA,"404",NA
2.411218817185,0.899160985677,NA,"407",NA
2.244140496087,0.913681160395,NA,"42",NA
2.622035050324,0.942845625741,NA,"421",NA
2.104512570742,0.848892330294,NA,"43",NA
2.643840861199,0.85208304775,NA,"460",NA
2.503691452246,0.90601368405,NA,"461",NA
2.622765312486,0.871626558008,NA,"491",NA
2.256779260295,0.854768010675,NA,"521",NA
2.503712085291,0.922426667341,NA,"531",NA
2.255097409942,0.81000959684,NA,"540",NA
2.484769335569,0.930237199202,NA,"541",NA
2.313812216647,0.903597451941,NA,"543",NA
2.488153285789,0.857884534069,NA,"544",NA
2.296837460438,0.790698942572,NA,"555",NA
2.481503563967,0.928105014469,NA,"591",NA
2.499796233311,0.945887372378,NA,"602",NA
2.283517802093,0.83944281436,NA,"611",NA
2.372655682043,0.904388001423,NA,"621",NA
2.324881278656,0.932036846624,NA,"651",NA
2.149596166338,0.756088756994,NA,"653",NA
2.565420642796,0.896177794421,NA,"68",NA
2.286926620045,0.623051573242,NA,"691",NA
2.336705332356,0.864944712492,NA,"693",NA
2.071230649657,0.684052253799,NA,"694",NA
2.31414720497,0.87926962056,NA,"71",NA
2.326676793248,0.834775082154,NA,"731",NA
2.254777398503,0.932766525831,NA,"740",NA
2.340880628124,0.924655081737,NA,"741",NA
2.5772182151,0.925115047932,NA,"742",NA
2.308099836459,0.96736921026,NA,"743",NA
2.217737024787,0.954474602572,NA,"746",NA
2.435498049897,0.947256312595,NA,"762",NA
2.478170078514,0.873668316104,NA,"800",NA
2.397656373196,0.835018633686,NA,"802",NA
2.392050741136,0.856518917441,NA,"806",NA
2.504316269517,0.902838067968,NA,"81",NA
2.430894246483,0.827652003645,NA,"812",NA
2.330417273801,0.811809788057,NA,"813",NA
2.373998029115,0.800346242802,NA,"820",NA
2.525892680434,0.880947283979,NA,"822",NA
2.283945369611,0.756971713155,NA,"825",NA
2.41538228072,0.839266917262,NA,"827",NA
2.544569441955,0.87217364367,NA,"828",NA
2.476835259222,0.834920863235,NA,"831",NA
2.450485705415,0.908883498543,NA,"832",NA
2.437105961565,0.874737566567,NA,"833",NA
2.484033947115,0.855892084131,NA,"835",NA
2.426763441358,0.8716335072,NA,"837",NA
2.61485067581,0.852650936999,NA,"838",NA
2.486563201541,0.918070279877,NA,"901",NA
2.426885311937,0.921888258605,NA,"91",NA
2.285884410155,0.929353274897,NA,"93",NA
2.247547562826,0.892936617578,NA,"94",NA
2.220640876897,0.903244638799,NA,"95",NA
2.091127405823,0.873285578539,NA,"950",NA
2.321775129113,0.950405419302,NA,"951",NA
2.162471773316,0.921406673027,NA,"97",NA
2.476714228773,0.855815791256,NA,"970",NA
2.715680442955,0.890875629787,NA,"972",NA
2.238794894984,0.936633343235,NA,"98",NA
2.385998142067,0.852145003033,NA,"999",NA
2.27287205553,0.81583127324,NA,NA,1
2.295591234774,0.913185703689,NA,NA,2
2.315849710366,0.926650501746,NA,NA,3
2.123005404685,0.889868807398,NA,NA,4
2.223964139072,0.906473983625,NA,NA,5
2.247027060542,0.944938402154,NA,NA,6
2.432627082007,0.902678817152,NA,NA,7
2.317280548447,0.846218848701,NA,NA,8
2.430338525578,0.866173151871,NA,NA,9
2.496824337721,0.969821313724,NA,"6114",NA
2.660245863517,1.01015425295,NA,"6443",NA
2.706117159483,0.946095719388,NA,"7290",NA
2.646185209903,0.958662502553,NA,"7470",NA
2.666214183269,0.99114077113,NA,"7474",NA
2.25316282642,0.924445536344,NA,"8644",NA
2.531106726586,0.959051654224,NA,"8713",NA
2.523091171735,0.901717600449,NA,NA,11
2.297842170057,0.942559224185,NA,"16",NA
2.431042145105,0.942559224185,NA,"18",NA
2.282279868046,0.883333468058,NA,"70",NA
2.05083267798,0.883333468058,NA,"73",NA
2.319395665449,0.924037454475,NA,"90",NA
2.277333794522,0.903512603508,NA,"113",NA
2.215875645493,0.903512603508,NA,"116",NA
2.252383496413,0.903512603508,NA,"119",NA
2.340985443012,0.903512603508,NA,"130",NA
1.999964491999,0.942559224185,NA,"260",NA
2.30440804951,0.942559224185,NA,"264",NA
2.633775314893,0.914221744065,NA,"311",NA
2.473107871222,0.895693875803,NA,"314",NA
2.491381868165,0.914221744065,NA,"315",NA
2.714435367399,0.914221744065,NA,"373",NA
2.388692295458,0.914221744065,NA,"379",NA
2.524928391411,0.902460357794,NA,"391",NA
2.448398408064,0.895693875803,NA,"402",NA
2.478900472355,0.895693875803,NA,"405",NA
2.50044411555,0.895693875803,NA,"409",NA
2.638271878844,0.902460357794,NA,"462",NA
2.327129564411,0.902460357794,NA,"471",NA
2.545450581919,0.902460357794,NA,"552",NA
2.516943148816,0.902460357794,NA,"601",NA
2.319233912849,0.902460357794,NA,"650",NA
2.455293370594,0.902460357794,NA,"652",NA
2.858353056226,0.902460357794,NA,"680",NA
2.530702213076,0.902460357794,NA,"701",NA
2.472458958529,0.902460357794,NA,"711",NA
2.750870342649,0.965584036242,NA,"745",NA
2.549867815844,0.895693875803,NA,"804",NA
2.57975394106,0.895693875803,NA,"809",NA
2.66173442577,0.895693875803,NA,"817",NA
2.523171845374,0.895693875803,NA,"823",NA
2.595277688385,0.895693875803,NA,"826",NA
2.575554919996,0.895693875803,NA,"830",NA
2.599079762895,0.895693875803,NA,"834",NA
2.355911112697,0.965584036242,NA,"920",NA
2.521901805306,0.965584036242,NA,"922",NA
2.196547242483,0.902460357794,NA,"931",NA
2.565858523493,0.902460357794,NA,"971",NA
2.239892081381,0.902460357794,NA,"975",NA
