"DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"M330","M334","CARBON",2,4520707243.05275,5598886696.86633,1078179453.81358,23.8497959687719,"Total aboveground carbon"
"M330","M334","VMERIB",2,294846703.896008,249085627.603741,-45761076.2922679,-15.520294338582,"Merchantable wood volume"
"M330","M334","WMERBCH",2,711480525.690787,2534561725.60673,1823081199.91594,256.237681016762,"Top and limb weight"
"M330","M334","WMEROB",2,7687571721.92359,7739324051.27122,51752329.3476286,0.673194751471913,"Merch bole wood and bark weight"
"M330","M334","WSTPOB",2,442942926.519185,516913891.590787,73970965.071602,16.6998862930026,"Stump wood and bark weight"
"M340","M341","BIOMASS",1,137289740456.882,164642528643.551,27352788186.6691,19.9234029401197,"Total aboveground biomass"
"M340","M341","CARBON",1,68644870536.6912,81317390371.2227,12672519834.5315,18.4609858470895,"Total aboveground carbon"
"M340","M341","VMERIB",1,3728679666.48579,3655157960.98851,-73521705.4972825,-1.9717892678771,"Merchantable wood volume"
"M340","M341","WMERBCH",1,20650638400.4918,47746382843.7862,27095744443.2944,131.210202405409,"Top and limb weight"
"M340","M341","WMEROB",1,102389731273.326,102315473881.013,-74257392.3128967,-0.0725242574518232,"Merch bole wood and bark weight"
"M340","M341","WSTPOB",1,5059570080.07823,5680825252.41003,621255172.331805,12.2788134663449,"Stump wood and bark weight"
"M340","M341","VSAWIB",1,2679492722.1188,2454397535.69612,-225095186.422678,-8.40066422142338,"Sawlog wood volume"
"M340","M341","BIOMASS",2,38570834118.7898,60450002792.5744,21879168673.7846,56.724644860937,"Total aboveground biomass"
"M340","M341","CARBON",2,19285417104.1417,29758060858.5065,10472643754.3649,54.3034340289991,"Total aboveground carbon"
"M340","M341","VMERIB",2,1431117575.64061,1444526833.62818,13409257.9875674,0.93697808033453,"Merchantable wood volume"
"M340","M341","WMERBCH",2,3852306291.18918,16765015093.1396,12912708801.9504,335.194240174614,"Top and limb weight"
"M340","M341","WMEROB",2,32046545943.9609,40762667701.2676,8716121757.30676,27.1983188845015,"Merch bole wood and bark weight"
"M340","M341","WSTPOB",2,1885242683.45933,2176333885.92245,291091202.463113,15.4405162272782,"Stump wood and bark weight"
