"SPCD","COMMON_NAME","HWSW","DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"101","whitebark pine","Softwood","M330","M333","WSTPOB",2,730501376.582708,797631335.853837,67129959.2711285,9.18957327433975,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M330","M331","BIOMASS",1,30517688811.7601,32145438197.4101,1627749385.65003,5.33378984132891,"Total aboveground biomass"
"101","whitebark pine","Softwood","M330","M331","CARBON",1,15258844484.525,15363912186.4522,105067701.92717,0.688569190371695,"Total aboveground carbon"
"101","whitebark pine","Softwood","M330","M331","VMERIB",1,752942183.660374,688180092.700497,-64762090.9598771,-8.60120370000269,"Merchantable wood volume"
"101","whitebark pine","Softwood","M330","M331","WMERBCH",1,4023622341.91509,9408477273.87005,5384854931.95496,133.831022754287,"Top and limb weight"
"101","whitebark pine","Softwood","M330","M331","WMEROB",1,23248348658.2424,18904021285.8644,-4344327372.37805,-18.6866062456347,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M330","M331","WSTPOB",1,1402357215.94011,1375972715.32998,-26384500.6101346,-1.88143935869057,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M330","M331","VSAWIB",1,484830845.545686,426044830.412234,-58786015.1334523,-12.1250567437159,"Sawlog wood volume"
"101","whitebark pine","Softwood","M330","M331","BIOMASS",2,50615895834.7834,62910614748.101,12294718913.3176,24.2902327629428,"Total aboveground biomass"
"101","whitebark pine","Softwood","M330","M331","CARBON",2,25307947947.6332,30068128318.8549,4760180371.22166,18.8090333561273,"Total aboveground carbon"
"101","whitebark pine","Softwood","M330","M331","VMERIB",2,1549716349.15443,1430227765.30648,-119488583.847954,-7.7103518920188,"Merchantable wood volume"
"101","whitebark pine","Softwood","M330","M331","WMERBCH",2,4492190100.57077,18673898240.2902,14181708139.7194,315.696972350246,"Top and limb weight"
"101","whitebark pine","Softwood","M330","M331","WMEROB",2,43436771348.9452,41625285023.7836,-1811486325.16161,-4.17039818776861,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M330","M331","WSTPOB",2,2577637665.41015,2476179061.76921,-101458603.640944,-3.93610804972466,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M340","M341","BIOMASS",1,356248147.660027,375846601.757892,19598454.097865,5.50134905306738,"Total aboveground biomass"
"101","whitebark pine","Softwood","M340","M341","CARBON",1,178124073.975394,179635883.310185,1511809.33479005,0.848739477516603,"Total aboveground carbon"
"101","whitebark pine","Softwood","M340","M341","VMERIB",1,8854380.04958583,7750679.87213102,-1103700.17745481,-12.4650192478064,"Merchantable wood volume"
"101","whitebark pine","Softwood","M340","M341","VSAWIB",1,7314717.20866937,6074866.43554342,-1239850.77312596,-16.9500848461577,"Sawlog wood volume"
"101","whitebark pine","Softwood","M340","M341","WMERBCH",1,46013586.35672,117968774.292371,71955187.9356514,156.378134444508,"Top and limb weight"
"101","whitebark pine","Softwood","M340","M341","WMEROB",1,273228884.585023,214017352.067869,-59211532.5171545,-21.6710369429221,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M340","M341","WSTPOB",1,15376125.5508627,15497729.083478,121603.532615246,0.790859389206947,"Stump wood and bark weight"
"101","whitebark pine","Softwood","340","342","BIOMASS",1,22187271.7861975,24931952.4380926,2744680.6518951,12.3705189098668,"Total aboveground biomass"
"101","whitebark pine","Softwood","340","342","CARBON",1,11093635.9132327,11916226.6677864,822590.754553717,7.41497883099371,"Total aboveground carbon"
"101","whitebark pine","Softwood","340","342","VMERIB",1,578787.389396811,498753.44490894,-80033.9444878709,-13.8278659753246,"Merchantable wood volume"
"101","whitebark pine","Softwood","340","342","WMERBCH",1,3165511.80011724,11388477.8177128,8222966.01759558,259.76734685655,"Top and limb weight"
"101","whitebark pine","Softwood","340","342","WMEROB",1,17860249.0258775,12134966.0295328,-5725282.99634467,-32.0560087826849,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","340","342","WSTPOB",1,1161510.96020277,1408508.59084699,246997.630644213,21.2652001666082,"Stump wood and bark weight"
"101","whitebark pine","Softwood","340","342","VSAWIB",1,285347.944495247,216060.17603772,-69287.7684575269,-24.2818530128508,"Sawlog wood volume"
"101","whitebark pine","Softwood","M240","M242","BIOMASS",1,3706153936.61736,4455886893.48516,749732956.867792,20.2294068106647,"Total aboveground biomass"
"101","whitebark pine","Softwood","M240","M242","CARBON",1,1853076980.16136,2129691140.74123,276614160.579874,14.927289235215,"Total aboveground carbon"
"101","whitebark pine","Softwood","M240","M242","VMERIB",1,88972007.7382885,89871072.6563078,899064.918019265,1.01050312438027,"Merchantable wood volume"
"101","whitebark pine","Softwood","M240","M242","VSAWIB",1,63692095.1386861,62406555.5791692,-1285539.55951693,-2.01836594748177,"Sawlog wood volume"
"101","whitebark pine","Softwood","M240","M242","WMERBCH",1,468468019.495039,1452238768.93556,983770749.440523,209.997418927535,"Top and limb weight"
"101","whitebark pine","Softwood","M240","M242","WMEROB",1,2754039873.64867,2381475348.83113,-372564524.817541,-13.5279277683061,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M240","M242","WSTPOB",1,154799250.095518,176676954.237504,21877704.1419863,14.132952277538,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M240","M242","BIOMASS",2,4361613150.98511,5846785258.40977,1485172107.42466,34.0509819649919,"Total aboveground biomass"
"101","whitebark pine","Softwood","M240","M242","CARBON",2,2180806579.30417,2794471014.25695,613664434.952776,28.1393334363737,"Total aboveground carbon"
"101","whitebark pine","Softwood","M240","M242","VMERIB",2,141087283.337822,141953505.422541,866222.084718555,0.613961842786678,"Merchantable wood volume"
"101","whitebark pine","Softwood","M240","M242","WMERBCH",2,286709670.641766,1736869191.70281,1450159521.06105,505.793724297835,"Top and limb weight"
